Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh]
1,1,8,0,22.29,0.0,38.51,9.6,2.16,2.88,0.0
1,2,8,0,22.17,0.0,40.76,8.2,1.2,1.69,0.0
1,3,8,0,22.17,0.0,42.22,10.0,0.12,2.31,0.0
1,4,8,0,22.28,0.0,42.3,16.5,0.24,7.15,0.0
1,5,8,0,22.14,0.0,43.08,10.0,0.84,1.67,0.0
1,6,8,0,21.91,0.0,44.3,6.9,1.2,0.41,0.0
1,7,8,0,21.97,0.0,44.51,9.8,2.52,1.1,0.0
1,8,8,0,22.08,0.0,44.45,12.3,6.6,2.61,0.0
1,9,8,0,22.19,0.0,43.8,12.8,9.24,4.38,0.0
1,10,8,0,22.32,0.0,43.0,13.9,12.12,7.82,0.0
1,11,8,0,22.38,0.0,42.78,10.9,12.48,8.61,0.0
1,12,8,0,22.47,0.0,42.16,13.1,1.56,14.15,0.0
1,13,8,0,22.51,0.0,41.51,14.5,12.12,17.42,0.0
1,14,8,0,22.54,0.0,40.77,17.4,3.84,19.96,0.0
1,15,8,0,22.53,0.0,40.3,11.7,1.8,12.89,0.0
1,16,8,0,22.54,0.0,39.49,15.2,4.56,15.11,0.0
1,17,8,0,22.54,0.0,38.64,15.1,0.96,13.38,0.0
1,18,8,0,22.53,0.0,38.44,14.0,3.0,11.99,0.0
1,19,8,0,22.52,0.0,38.69,14.1,3.6,12.26,0.0
1,20,8,0,22.52,0.0,38.73,16.3,2.16,13.56,0.0
1,21,8,0,22.53,0.0,38.38,18.4,4.44,14.48,0.0
1,22,8,0,22.53,0.0,38.01,18.8,2.64,13.99,0.0
1,23,8,0,22.54,0.0,37.69,23.0,0.72,17.12,0.0
1,24,8,0,22.44,0.0,37.73,14.6,0.84,7.54,0.0
1,1,2,0,22.15,0.0,38.19,7.8,2.4,1.17,0.0
1,2,2,0,22.14,0.0,37.81,12.3,0.36,1.83,0.0
1,3,2,0,21.91,0.0,37.88,11.3,0.36,0.49,0.0
1,4,2,0,21.6,0.0,37.49,11.3,1.8,0.15,0.0
1,5,2,0,21.32,0.0,36.75,11.0,0.0,0.02,0.0
1,6,2,0,21.33,0.0,35.23,14.7,2.52,0.13,0.0
1,7,2,0,21.32,0.0,33.72,16.7,8.64,0.14,0.0
1,8,2,0,21.17,0.0,32.54,13.4,25.08,0.0,0.0
1,9,2,0,21.42,0.0,31.09,11.3,5.64,0.74,0.0
1,10,2,0,21.81,0.0,29.39,13.3,5.04,3.44,0.0
1,11,2,0,21.95,0.0,28.2,14.6,6.36,6.33,0.0
1,12,2,0,21.91,0.0,26.96,9.4,8.76,6.4,0.0
1,13,2,0,22.0,0.0,25.76,12.7,4.68,9.26,0.0
1,14,2,0,22.16,0.0,24.39,14.3,6.0,10.99,0.0
1,15,2,0,22.32,0.0,23.31,14.7,0.6,12.77,0.0
