time_step,month,day_type,hour,minutes,passengers_from_trains_15min,background_pedestrians_15min,passengers_expected_15min,people_detected,arriving_trains,departing_trains,minutes_to_next_train,available
0,1,8,1,0,23.4000,2.9500,26.3500,1,0,0,17,1
1,1,8,1,15,0.0000,2.6900,2.6900,1,1,1,2,1
2,1,8,1,30,0.0000,3.0200,3.0200,1,0,0,33,1
3,1,8,1,45,44.8000,3.3800,48.1800,1,0,0,18,1
4,1,8,2,0,0.0000,0.5300,0.5300,1,2,2,3,1
5,1,8,2,15,0.0000,0.5300,0.5300,1,0,0,240,1
6,1,8,2,30,0.0000,0.6800,0.6800,1,0,0,232,1
7,1,8,2,45,0.0000,0.6100,0.6100,1,0,0,217,1
8,1,8,3,0,0.0000,0.0000,0.0000,0,0,0,202,1
9,1,8,3,15,0.0000,0.0000,0.0000,0,0,0,187,1
10,1,8,3,30,0.0000,0.0000,0.0000,0,0,0,172,1
11,1,8,3,45,0.0000,0.0000,0.0000,0,0,0,157,1
12,1,8,4,0,0.0000,0.0000,0.0000,0,0,0,142,1
13,1,8,4,15,0.0000,0.0000,0.0000,0,0,0,127,1
14,1,8,4,30,0.0000,0.0000,0.0000,0,0,0,112,1
15,1,8,4,45,0.0000,0.0000,0.0000,0,0,0,97,1
16,1,8,5,0,0.0000,0.0000,0.0000,0,0,0,82,1
17,1,8,5,15,0.0000,0.0000,0.0000,0,0,0,67,1
18,1,8,5,30,0.0000,0.0000,0.0000,0,0,0,52,1
19,1,8,5,45,0.0000,0.0000,0.0000,0,0,0,37,1
20,1,8,6,0,45.3000,8.3900,53.6900,1,0,0,22,1
21,1,8,6,15,0.0000,6.6400,6.6400,1,2,2,7,1
22,1,8,6,30,25.4000,6.9400,32.3400,1,0,0,18,1
23,1,8,6,45,0.0000,5.4100,5.4100,1,1,1,3,1
24,1,8,7,0,0.0000,11.3600,11.3600,1,0,0,33,1
25,1,8,7,15,30.4000,12.5800,42.9800,1,0,0,18,1
26,1,8,7,30,0.0000,10.2400,10.2400,1,1,1,3,1
27,1,8,7,45,0.0000,13.0700,13.0700,1,0,0,38,1
28,1,8,8,0,58.5000,18.7700,77.2700,1,0,0,23,1
29,1,8,8,15,91.4000,19.7200,111.1200,1,2,2,8,1
30,1,8,8,30,86.8000,18.7600,105.5600,1,3,3,4,1
31,1,8,8,45,61.2000,26.3600,87.5600,1,3,3,2,1
32,1,8,9,0,30.3000,23.3300,53.6300,1,2,2,7,1
33,1,8,9,15,87.1000,19.6700,106.7700,1,1,1,6,1
34,1,8,9,30,56.6000,26.2600,82.8600,1,3,3,4,1
35,1,8,9,45,28.9000,19.0900,47.9900,1,2,2,8,1
36,1,8,10,0,60.3000,18.4400,78.7400,1,1,1,9,1
37,1,8,10,15,28.1000,12.6200,40.7200,1,2,2,2,1
38,1,8,10,30,55.4000,14.3100,69.7100,1,1,1,7,1
39,1,8,10,45,28.4000,18.4000,46.8000,1,2,2,2,1
40,1,8,11,0,28.4000,16.8000,45.2000,1,1,1,7,1
41,1,8,11,15,55.9000,15.5100,71.4100,1,1,1,12,1
42,1,8,11,30,78.0000,14.8600,92.8600,1,2,2,9,1
43,1,8,11,45,50.0000,14.4400,64.4400,1,3,3,7,1
44,1,8,12,0,31.0000,11.7700,42.7700,1,2,2,4,1
45,1,8,12,15,24.4000,13.4900,37.8900,1,1,1,11,1
46,1,8,12,30,28.1000,14.0800,42.1800,1,1,1,9,1
47,1,8,12,45,56.5000,17.5200,74.0200,1,1,1,8,1
48,1,8,13,0,25.8000,17.3500,43.1500,1,2,2,4,1
49,1,8,13,15,52.6000,12.1400,64.7400,1,1,1,12,1
50,1,8,13,30,78.3000,17.3000,95.6000,1,2,2,9,1
51,1,8,13,45,0.0000,15.5500,15.5500,1,3,3,2,1
52,1,8,14,0,54.1000,14.8200,68.9200,1,0,0,16,1
53,1,8,14,15,0.0000,18.0100,18.0100,1,2,2,1,1
54,1,8,14,30,60.5000,19.0500,79.5500,1,0,0,17,1
55,1,8,14,45,54.0000,18.8000,72.8000,1,2,2,2,1
56,1,8,15,0,28.8000,13.2200,42.0200,1,2,2,4,1
57,1,8,15,15,53.1000,14.4200,67.5200,1,1,1,11,1
58,1,8,15,30,55.2000,15.8800,71.0800,1,2,2,9,1
59,1,8,15,45,23.3000,17.3400,40.6400,1,2,2,2,1
60,1,8,16,0,54.9000,14.0400,68.9400,1,1,1,4,1
61,1,8,16,15,0.0000,14.7000,14.7000,1,2,2,1,1
62,1,8,16,30,25.8000,12.6200,38.4200,1,0,0,18,1
63,1,8,16,45,58.1000,12.4100,70.5100,1,1,1,3,1
64,1,8,17,0,23.8000,21.6000,45.4000,1,2,2,4,1
65,1,8,17,15,57.6000,23.1700,80.7700,1,1,1,11,1
66,1,8,17,30,51.8000,19.0400,70.8400,1,2,2,4,1
67,1,8,17,45,26.5000,22.1500,48.6500,1,2,2,2,1
68,1,8,18,0,54.5000,24.6400,79.1400,1,1,1,9,1
69,1,8,18,15,0.0000,21.1100,21.1100,1,2,2,2,1
70,1,8,18,30,26.8000,24.6400,51.4400,1,0,0,18,1
71,1,8,18,45,67.2000,28.7700,95.9700,1,1,1,3,1
72,1,8,19,0,31.4000,24.6200,56.0200,1,2,2,4,1
73,1,8,19,15,62.0000,30.5600,92.5600,1,1,1,4,1
74,1,8,19,30,62.7000,15.0200,77.7200,1,2,2,7,1
75,1,8,19,45,58.9000,27.8000,86.7000,1,2,2,3,1
76,1,8,20,0,26.4000,20.8900,47.2900,1,2,2,6,1
77,1,8,20,15,117.2000,19.7000,136.9000,1,1,1,3,1
78,1,8,20,30,31.3000,20.9100,52.2100,1,4,4,2,1
79,1,8,20,45,26.7000,14.4800,41.1800,1,1,1,3,1
80,1,8,21,0,21.6000,14.6300,36.2300,1,1,1,6,1
81,1,8,21,15,49.3000,15.9400,65.2400,1,1,1,6,1
82,1,8,21,30,72.6000,18.4800,91.0800,1,2,2,9,1
83,1,8,21,45,25.3000,13.9500,39.2500,1,3,3,2,1
84,1,8,22,0,40.4000,9.6700,50.0700,1,1,1,12,1
85,1,8,22,15,44.0000,10.1700,54.1700,1,2,2,5,1
86,1,8,22,30,24.4000,12.5100,36.9100,1,2,2,9,1
87,1,8,22,45,49.4000,11.5400,60.9400,1,1,1,3,1
88,1,8,23,0,0.0000,7.5900,7.5900,1,2,2,4,1
89,1,8,23,15,72.3000,8.8900,81.1900,1,0,0,16,1
90,1,8,23,30,38.1000,8.3700,46.4700,1,3,3,1,1
91,1,8,23,45,0.0000,9.4500,9.4500,1,2,2,2,1
92,1,8,24,0,24.2000,4.4300,28.6300,1,0,0,22,1
93,1,8,24,15,57.8000,4.7100,62.5100,1,1,1,7,1
94,1,8,24,30,44.9000,4.6600,49.5600,1,3,3,1,1
95,1,8,24,45,0.0000,3.8600,3.8600,1,2,2,3,1
96,1,4,1,0,25.4000,5.2200,30.6200,1,0,0,17,1
97,1,4,1,15,0.0000,5.2000,5.2000,1,1,1,2,1
98,1,4,1,30,0.0000,5.0000,5.0000,1,0,0,33,1
99,1,4,1,45,47.7000,4.8200,52.5200,1,0,0,18,1
100,1,4,2,0,0.0000,0.7900,0.7900,1,2,2,3,1
101,1,4,2,15,0.0000,0.9400,0.9400,1,0,0,240,1
102,1,4,2,30,0.0000,0.9500,0.9500,1,0,0,232,1
103,1,4,2,45,0.0000,0.8800,0.8800,1,0,0,217,1
104,1,4,3,0,0.0000,0.0000,0.0000,0,0,0,202,1
105,1,4,3,15,0.0000,0.0000,0.0000,0,0,0,187,1
106,1,4,3,30,0.0000,0.0000,0.0000,0,0,0,172,1
107,1,4,3,45,0.0000,0.0000,0.0000,0,0,0,157,1
108,1,4,4,0,0.0000,0.0000,0.0000,0,0,0,142,1
109,1,4,4,15,0.0000,0.0000,0.0000,0,0,0,127,1
110,1,4,4,30,0.0000,0.0000,0.0000,0,0,0,112,1
111,1,4,4,45,0.0000,0.0000,0.0000,0,0,0,97,1
112,1,4,5,0,0.0000,0.0000,0.0000,0,0,0,82,1
113,1,4,5,15,0.0000,0.0000,0.0000,0,0,0,67,1
114,1,4,5,30,0.0000,0.0000,0.0000,0,0,0,52,1
115,1,4,5,45,0.0000,0.0000,0.0000,0,0,0,37,1
116,1,4,6,0,54.3000,12.4300,66.7300,1,0,0,22,1
117,1,4,6,15,0.0000,10.3100,10.3100,1,2,2,7,1
118,1,4,6,30,27.2000,14.6400,41.8400,1,0,0,18,1
119,1,4,6,45,27.5000,13.9100,41.4100,1,1,1,3,1
120,1,4,7,0,73.7000,25.1700,98.8700,1,1,1,12,1
121,1,4,7,15,113.2000,19.4300,132.6300,1,2,2,6,1
122,1,4,7,30,201.6000,27.2300,228.8300,1,3,3,3,1
123,1,4,7,45,39.4000,17.7700,57.1700,1,5,5,2,1
124,1,4,8,0,101.3000,40.8000,142.1000,1,1,1,12,1
125,1,4,8,15,157.7000,49.8200,207.5200,1,3,3,3,1
126,1,4,8,30,167.2000,31.9300,199.1300,1,4,4,4,1
127,1,4,8,45,106.4000,34.3100,140.7100,1,5,5,3,1
128,1,4,9,0,93.3000,43.1400,136.4400,1,3,3,2,1
129,1,4,9,15,155.8000,39.2900,195.0900,1,3,3,2,1
130,1,4,9,30,131.0000,32.6100,163.6100,1,4,4,4,1
131,1,4,9,45,75.2000,42.9400,118.1400,1,4,4,3,1
132,1,4,10,0,104.0000,27.3200,131.3200,1,2,2,7,1
133,1,4,10,15,109.3000,34.8100,144.1100,1,3,3,2,1
134,1,4,10,30,72.6000,28.0200,100.6200,1,3,3,7,1
135,1,4,10,45,67.6000,40.0600,107.6600,1,2,2,2,1
136,1,4,11,0,29.6000,24.2700,53.8700,1,2,2,7,1
137,1,4,11,15,96.0000,26.1700,122.1700,1,1,1,12,1
138,1,4,11,30,79.5000,30.8600,110.3600,1,3,3,9,1
139,1,4,11,45,57.2000,22.4200,79.6200,1,3,3,7,1
140,1,4,12,0,61.9000,28.4400,90.3400,1,2,2,4,1
141,1,4,12,15,58.0000,32.8900,90.8900,1,2,2,3,1
142,1,4,12,30,30.7000,20.8700,51.5700,1,2,2,9,1
143,1,4,12,45,62.5000,28.2600,90.7600,1,1,1,8,1
144,1,4,13,0,62.3000,31.1700,93.4700,1,2,2,2,1
145,1,4,13,15,122.6000,33.5200,156.1200,1,2,2,3,1
146,1,4,13,30,99.2000,24.4300,123.6300,1,4,4,4,1
147,1,4,13,45,30.8000,24.0600,54.8600,1,3,3,2,1
148,1,4,14,0,105.0000,32.3500,137.3500,1,1,1,4,1
149,1,4,14,15,31.5000,31.3400,62.8400,1,3,3,1,1
150,1,4,14,30,124.5000,31.1300,155.6300,1,1,1,12,1
151,1,4,14,45,58.4000,31.5600,89.9600,1,4,4,2,1
152,1,4,15,0,61.1000,24.6900,85.7900,1,2,2,2,1
153,1,4,15,15,90.2000,28.4600,118.6600,1,2,2,3,1
154,1,4,15,30,59.4000,28.7100,88.1100,1,3,3,9,1
155,1,4,15,45,31.8000,24.5500,56.3500,1,2,2,2,1
156,1,4,16,0,94.3000,35.2000,129.5000,1,1,1,4,1
157,1,4,16,15,30.5000,29.4500,59.9500,1,3,3,1,1
158,1,4,16,30,33.4000,22.5900,55.9900,1,1,1,12,1
159,1,4,16,45,72.3000,30.2100,102.5100,1,1,1,3,1
160,1,4,17,0,64.3000,29.8800,94.1800,1,2,2,2,1
161,1,4,17,15,80.8700,39.1300,120.0000,1,2,2,3,1
162,1,4,17,30,59.2000,41.0800,100.2800,1,3,3,4,1
163,1,4,17,45,26.3000,30.6900,56.9900,1,2,2,2,1
164,1,4,18,0,101.7000,48.6400,150.3400,1,1,1,9,1
165,1,4,18,15,95.7300,45.1300,140.8600,1,3,3,2,1
166,1,4,18,30,98.7000,47.7400,146.4400,1,3,3,4,1
167,1,4,18,45,155.8000,54.5900,210.3900,1,3,3,3,1
168,1,4,19,0,36.4000,43.3400,79.7400,1,4,4,4,1
169,1,4,19,15,170.5200,39.9100,210.4300,1,1,1,4,1
170,1,4,19,30,102.2000,39.0000,141.2000,1,5,5,4,1
171,1,4,19,45,111.1000,39.4900,150.5900,1,3,3,3,1
172,1,4,20,0,65.5000,37.0700,102.5700,1,3,3,6,1
173,1,4,20,15,173.3000,39.4200,212.7200,1,2,2,3,1
174,1,4,20,30,59.8000,39.0600,98.8600,1,5,5,2,1
175,1,4,20,45,64.7000,42.1500,106.8500,1,2,2,3,1
176,1,4,21,0,69.2000,27.5500,96.7500,1,2,2,4,1
177,1,4,21,15,77.6000,33.5000,111.1000,1,3,3,3,1
178,1,4,21,30,50.7000,26.4100,77.1100,1,3,3,7,1
179,1,4,21,45,24.4000,38.7200,63.1200,1,2,2,2,1
180,1,4,22,0,53.0000,21.8800,74.8800,1,1,1,12,1
181,1,4,22,15,50.1000,17.4300,67.5300,1,2,2,5,1
