numero,categoria,observacao_codigo,hora_ermesinde,linha,sentido_fisico,tipo_evento_ermesinde,grupo_plataforma,descricao_dia
15271,U,7,06:24,minho_braga,SB_para_Braga,passagem,linhas_4_5,seg_sex_exceto_feriado
15203,U,7,06:39,minho_braga,SB_para_Braga,passagem,linhas_4_5,seg_sex_exceto_feriado
15151,U,7,06:59,minho_braga,SB_para_Braga,passagem,linhas_4_5,seg_sex_exceto_feriado
15205,U,1,07:34,minho_braga,SB_para_Braga,passagem,linhas_4_5,diario
15207,U,7,07:39,minho_braga,SB_para_Braga,passagem,linhas_4_5,seg_sex_exceto_feriado
15153,U,1,07:59,minho_braga,SB_para_Braga,passagem,linhas_4_5,diario
15209,U,1,08:34,minho_braga,SB_para_Braga,passagem,linhas_4_5,diario
15211,U,7,08:39,minho_braga,SB_para_Braga,passagem,linhas_4_5,seg_sex_exceto_feriado
15155,U,1,09:09,minho_braga,SB_para_Braga,passagem,linhas_4_5,diario
15213,U,1,09:37,minho_braga,SB_para_Braga,passagem,linhas_4_5,diario
15157,U,7,10:09,minho_braga,SB_para_Braga,passagem,linhas_4_5,seg_sex_exceto_feriado
15273,U,1,10:39,minho_braga,SB_para_Braga,passagem,linhas_4_5,diario
15215,U,1,11:04,minho_braga,SB_para_Braga,passagem,linhas_4_5,diario
15159,U,1,11:39,minho_braga,SB_para_Braga,passagem,linhas_4_5,diario
15217,U,1,12:04,minho_braga,SB_para_Braga,passagem,linhas_4_5,diario
15161,U,7,12:34,minho_braga,SB_para_Braga,passagem,linhas_4_5,seg_sex_exceto_feriado
15219,U,1,12:39,minho_braga,SB_para_Braga,passagem,linhas_4_5,diario
15221,U,7,13:04,minho_braga,SB_para_Braga,passagem,linhas_4_5,seg_sex_exceto_feriado
15163,U,1,14:04,minho_braga,SB_para_Braga,passagem,linhas_4_5,diario
15223,U,1,14:39,minho_braga,SB_para_Braga,passagem,linhas_4_5,diario
15225,U,1,15:04,minho_braga,SB_para_Braga,passagem,linhas_4_5,diario
15165,U,1,16:04,minho_braga,SB_para_Braga,passagem,linhas_4_5,diario
15227,U,1,16:34,minho_braga,SB_para_Braga,passagem,linhas_4_5,diario
15167,U,1,16:39,minho_guimaraes,SB_para_Guimaraes,passagem,linhas_4_5,diario
15233,U,1,17:09,minho_braga,SB_para_Braga,passagem,linhas_4_5,diario
15235,U,7,17:34,minho_braga,SB_para_Braga,passagem,linhas_4_5,seg_sex_exceto_feriado
15169,U,7,17:39,minho_guimaraes,SB_para_Guimaraes,passagem,linhas_4_5,seg_sex_exceto_feriado
15237,U,1,18:04,minho_braga,SB_para_Braga,passagem,linhas_4_5,diario
15239,U,7,18:34,minho_braga,SB_para_Braga,passagem,linhas_4_5,seg_sex_exceto_feriado
15171,U,1,18:44,minho_guimaraes,SB_para_Guimaraes,passagem,linhas_4_5,diario
15241,U,1,19:09,minho_braga,SB_para_Braga,passagem,linhas_4_5,diario
15173,U,7,19:27,minho_guimaraes,SB_para_Guimaraes,passagem,linhas_4_5,seg_sex_exceto_feriado
15275,U,1,19:34,minho_braga,SB_para_Braga,passagem,linhas_4_5,diario
15243,U,1,19:39,minho_braga,SB_para_Braga,passagem,linhas_4_5,diario
15175,U,7,20:04,minho_braga,SB_para_Braga,passagem,linhas_4_5,seg_sex_exceto_feriado
15245,U,1,20:39,minho_braga,SB_para_Braga,passagem,linhas_4_5,diario
15177,U,1,21:24,minho_braga,SB_para_Braga,passagem,linhas_4_5,diario
15247,U,1,21:39,minho_braga,SB_para_Braga,passagem,linhas_4_5,diario
15179,U,2,22:04,minho_braga,SB_para_Braga,passagem,linhas_4_5,sab_dom_feriado
15249,U,7,22:22,minho_braga,SB_para_Braga,passagem,linhas_4_5,seg_sex_exceto_feriado
3105,R,1,22:39,minho_braga,SB_para_Braga,passagem,linhas_4_5,diario
15181,U,7,23:29,minho_braga,SB_para_Braga,passagem,linhas_4_5,seg_sex_exceto_feriado
15251,U,1,23:39,minho_braga,SB_para_Braga,passagem,linhas_4_5,diario
15183,U,1,01:09,minho_braga,SB_para_Braga,passagem,linhas_4_5,diario
15200,U,1,05:26,minho_braga,Braga_para_SB,passagem,linhas_4_5,diario
15202,U,37,06:21,minho_braga,Braga_para_SB,passagem,linhas_4_5,seg_sab_exceto_feriado
15150,U,7,06:47,minho_braga,Braga_para_SB,passagem,linhas_4_5,seg_sex_exceto_feriado
15204,U,7,06:57,minho_braga,Braga_para_SB,passagem,linhas_4_5,seg_sex_exceto_feriado
15206,U,1,07:27,minho_braga,Braga_para_SB,passagem,linhas_4_5,diario
15152,U,2,07:47,minho_braga,Braga_para_SB,passagem,linhas_4_5,sab_dom_feriado
15154,U,7,07:49,minho_braga,Braga_para_SB,passagem,linhas_4_5,seg_sex_exceto_feriado
15208,U,7,07:57,minho_braga,Braga_para_SB,passagem,linhas_4_5,seg_sex_exceto_feriado
3000,R,1,08:07,minho_braga,Braga_para_SB,passagem,linhas_4_5,diario
15156,U,7,08:17,minho_braga,Braga_para_SB,passagem,linhas_4_5,seg_sex_exceto_feriado
15210,U,2,08:21,minho_braga,Braga_para_SB,passagem,linhas_4_5,sab_dom_feriado
15212,U,7,08:22,minho_braga,Braga_para_SB,passagem,linhas_4_5,seg_sex_exceto_feriado
15158,U,7,08:49,minho_braga,Braga_para_SB,passagem,linhas_4_5,seg_sex_exceto_feriado
15214,U,1,08:57,minho_braga,Braga_para_SB,passagem,linhas_4_5,diario
15218,U,1,09:26,minho_braga,Braga_para_SB,passagem,linhas_4_5,diario
15160,U,1,09:47,minho_braga,Braga_para_SB,passagem,linhas_4_5,diario
15270,U,1,10:27,minho_braga,Braga_para_SB,passagem,linhas_4_5,diario
15220,U,1,10:52,minho_braga,Braga_para_SB,passagem,linhas_4_5,diario
15162,U,1,11:26,minho_braga,Braga_para_SB,passagem,linhas_4_5,diario
15222,U,1,12:27,minho_braga,Braga_para_SB,passagem,linhas_4_5,diario
15224,U,1,12:47,minho_braga,Braga_para_SB,passagem,linhas_4_5,diario
15164,U,1,13:21,minho_braga,Braga_para_SB,passagem,linhas_4_5,diario
15226,U,1,13:47,minho_braga,Braga_para_SB,passagem,linhas_4_5,diario
15166,U,7,13:57,minho_braga,Braga_para_SB,passagem,linhas_4_5,seg_sex_exceto_feriado
15230,U,1,14:26,minho_braga,Braga_para_SB,passagem,linhas_4_5,diario
15168,U,1,14:47,minho_braga,Braga_para_SB,passagem,linhas_4_5,diario
15232,U,1,15:26,minho_braga,Braga_para_SB,passagem,linhas_4_5,diario
15234,U,1,16:26,minho_braga,Braga_para_SB,passagem,linhas_4_5,diario
15170,U,1,16:47,minho_braga,Braga_para_SB,passagem,linhas_4_5,diario
15236,U,1,17:26,minho_braga,Braga_para_SB,passagem,linhas_4_5,diario
15238,U,7,17:57,minho_braga,Braga_para_SB,passagem,linhas_4_5,seg_sex_exceto_feriado
15172,U,7,18:05,minho_braga,Braga_para_SB,passagem,linhas_4_5,seg_sex_exceto_feriado
15240,U,1,18:37,minho_braga,Braga_para_SB,passagem,linhas_4_5,diario
15174,U,2,18:52,minho_braga,Braga_para_SB,passagem,linhas_4_5,sab_dom_feriado
15242,U,7,18:57,minho_braga,Braga_para_SB,passagem,linhas_4_5,seg_sex_exceto_feriado
15176,U,7,19:13,minho_braga,Braga_para_SB,passagem,linhas_4_5,seg_sex_exceto_feriado
15244,U,1,19:32,minho_braga,Braga_para_SB,passagem,linhas_4_5,diario
15272,U,1,20:21,minho_braga,Braga_para_SB,passagem,linhas_4_5,diario
15178,U,7,20:37,minho_braga,Braga_para_SB,passagem,linhas_4_5,seg_sex_exceto_feriado
15246,U,1,20:47,minho_braga,Braga_para_SB,passagem,linhas_4_5,diario
15180,U,2,21:20,minho_braga,Braga_para_SB,passagem,linhas_4_5,sab_dom_feriado
15182,U,7,21:31,minho_braga,Braga_para_SB,passagem,linhas_4_5,seg_sex_exceto_feriado
15248,U,1,22:31,minho_braga,Braga_para_SB,passagem,linhas_4_5,diario
15250,U,2,22:47,minho_braga,Braga_para_SB,passagem,linhas_4_5,sab_dom_feriado
15184,U,1,23:31,minho_braga,Braga_para_SB,passagem,linhas_4_5,diario
15252,U,7,23:56,minho_braga,Braga_para_SB,passagem,linhas_4_5,seg_sex_exceto_feriado
15186,U,1,00:17,minho_braga,Braga_para_SB,passagem,linhas_4_5,diario
15162,U,1,10:52,minho_guimaraes,Guimaraes_para_SB,passagem,linhas_4_5,diario
15164,U,1,12:47,minho_guimaraes,Guimaraes_para_SB,passagem,linhas_4_5,diario
15166,U,7,13:47,minho_guimaraes,Guimaraes_para_SB,passagem,linhas_4_5,seg_sex_exceto_feriado
15178,U,7,20:21,minho_guimaraes,Guimaraes_para_SB,passagem,linhas_4_5,seg_sex_exceto_feriado
15180,U,2,20:47,minho_guimaraes,Guimaraes_para_SB,passagem,linhas_4_5,sab_dom_feriado
15182,U,7,21:20,minho_guimaraes,Guimaraes_para_SB,passagem,linhas_4_5,seg_sex_exceto_feriado
15184,U,1,22:47,minho_guimaraes,Guimaraes_para_SB,passagem,linhas_4_5,diario
15186,U,1,23:56,minho_guimaraes,Guimaraes_para_SB,passagem,linhas_4_5,diario
15151,U,7,06:39,minho_guimaraes,Guimaraes_para_SB,passagem,linhas_4_5,seg_sex_exceto_feriado
15153,U,1,07:39,minho_guimaraes,Guimaraes_para_SB,passagem,linhas_4_5,diario
15155,U,1,08:39,minho_guimaraes,Guimaraes_para_SB,passagem,linhas_4_5,diario
15157,U,7,09:37,minho_guimaraes,Guimaraes_para_SB,passagem,linhas_4_5,seg_sex_exceto_feriado
15159,U,1,10:39,minho_guimaraes,Guimaraes_para_SB,passagem,linhas_4_5,diario
15161,U,7,11:39,minho_guimaraes,Guimaraes_para_SB,passagem,linhas_4_5,seg_sex_exceto_feriado
15163,U,1,12:39,minho_guimaraes,Guimaraes_para_SB,passagem,linhas_4_5,diario
