month,day_type,hour,minutes,non_shiftable_load,indoor_dry_bulb_temperature,cooling_demand,heating_demand,hvac_mode,dhw_demand,solar_generation
1,8,1,0,0.082000,3.820000,0.000000,0.075000,2,0.000000,0.000000
1,8,1,15,0.082000,3.820000,0.000000,0.075000,2,0.000000,0.000000
1,8,1,30,0.082000,3.820000,0.000000,0.075000,2,0.000000,0.000000
1,8,1,45,0.082000,3.820000,0.000000,0.075000,2,0.000000,0.000000
1,8,2,0,0.082000,3.820000,0.000000,0.075000,2,0.000000,0.000000
1,8,2,15,0.082000,3.820000,0.000000,0.075000,2,0.000000,0.000000
1,8,2,30,0.082000,3.820000,0.000000,0.075000,2,0.000000,0.000000
1,8,2,45,0.082000,3.820000,0.000000,0.075000,2,0.000000,0.000000
1,8,3,0,0.082000,3.820000,0.000000,0.075000,2,0.000000,0.000000
1,8,3,15,0.082000,3.820000,0.000000,0.075000,2,0.000000,0.000000
1,8,3,30,0.082000,3.820000,0.000000,0.075000,2,0.000000,0.000000
1,8,3,45,0.082000,3.820000,0.000000,0.075000,2,0.000000,0.000000
1,8,4,0,0.082000,3.520000,0.000000,0.075000,2,0.000000,0.000000
1,8,4,15,0.082000,3.520000,0.000000,0.075000,2,0.000000,0.000000
1,8,4,30,0.082000,3.520000,0.000000,0.075000,2,0.000000,0.000000
1,8,4,45,0.082000,3.520000,0.000000,0.075000,2,0.000000,0.000000
1,8,5,0,0.082000,3.220000,0.000000,0.075000,2,0.000000,0.000000
1,8,5,15,0.082000,3.220000,0.000000,0.075000,2,0.000000,0.000000
1,8,5,30,0.082000,3.220000,0.000000,0.075000,2,0.000000,0.000000
1,8,5,45,0.082000,3.220000,0.000000,0.075000,2,0.000000,0.000000
1,8,6,0,0.082000,2.900000,0.000000,0.064275,2,0.000000,0.000000
1,8,6,15,0.082000,2.900000,0.000000,0.064275,2,0.000000,0.000000
1,8,6,30,0.082000,2.900000,0.000000,0.064275,2,0.000000,0.000000
1,8,6,45,0.082000,2.900000,0.000000,0.064275,2,0.000000,0.000000
1,8,7,0,0.082000,2.700000,0.000000,0.178575,2,0.000000,0.000000
1,8,7,15,0.082000,2.700000,0.000000,0.178575,2,0.000000,0.000000
1,8,7,30,0.082000,2.700000,0.000000,0.178575,2,0.000000,0.000000
1,8,7,45,0.082000,2.700000,0.000000,0.178575,2,0.000000,0.000000
1,8,8,0,0.082000,2.540000,0.000000,0.142850,2,0.000000,0.000000
1,8,8,15,0.082000,2.540000,0.000000,0.142850,2,0.000000,0.000000
1,8,8,30,0.082000,2.540000,0.000000,0.142850,2,0.000000,0.000000
1,8,8,45,0.082000,2.540000,0.000000,0.142850,2,0.000000,0.000000
1,8,9,0,0.082000,2.380000,0.000000,0.107150,2,0.000000,0.000000
1,8,9,15,0.082000,2.380000,0.000000,0.107150,2,0.000000,0.000000
1,8,9,30,0.082000,2.380000,0.000000,0.107150,2,0.000000,0.000000
1,8,9,45,0.082000,2.380000,0.000000,0.107150,2,0.000000,0.000000
1,8,10,0,0.082000,2.120000,0.000000,0.071425,2,0.000000,0.000000
1,8,10,15,0.082000,2.120000,0.000000,0.071425,2,0.000000,0.000000
1,8,10,30,0.082000,2.120000,0.000000,0.071425,2,0.000000,0.000000
1,8,10,45,0.082000,2.120000,0.000000,0.071425,2,0.000000,0.000000
1,8,11,0,0.082000,2.760000,0.000000,0.035725,2,0.000000,0.000000
1,8,11,15,0.082000,2.760000,0.000000,0.035725,2,0.000000,0.000000
1,8,11,30,0.082000,2.760000,0.000000,0.035725,2,0.000000,0.000000
1,8,11,45,0.082000,2.760000,0.000000,0.035725,2,0.000000,0.000000
1,8,12,0,0.082000,4.900000,0.000000,0.000000,2,0.000000,0.000000
1,8,12,15,0.082000,4.900000,0.000000,0.000000,2,0.000000,0.000000
1,8,12,30,0.082000,4.900000,0.000000,0.000000,2,0.000000,0.000000
1,8,12,45,0.082000,4.900000,0.000000,0.000000,2,0.000000,0.000000
1,8,13,0,0.082000,7.700000,0.000000,0.000000,2,0.000000,0.000000
1,8,13,15,0.082000,7.700000,0.000000,0.000000,2,0.000000,0.000000
1,8,13,30,0.082000,7.700000,0.000000,0.000000,2,0.000000,0.000000
1,8,13,45,0.082000,7.700000,0.000000,0.000000,2,0.000000,0.000000
1,8,14,0,0.082000,9.700000,0.000000,0.000000,2,0.000000,0.000000
1,8,14,15,0.082000,9.700000,0.000000,0.000000,2,0.000000,0.000000
1,8,14,30,0.082000,9.700000,0.000000,0.000000,2,0.000000,0.000000
1,8,14,45,0.082000,9.700000,0.000000,0.000000,2,0.000000,0.000000
1,8,15,0,0.082000,10.830000,0.000000,0.035725,2,0.000000,0.000000
1,8,15,15,0.082000,10.830000,0.000000,0.035725,2,0.000000,0.000000
1,8,15,30,0.082000,10.830000,0.000000,0.035725,2,0.000000,0.000000
1,8,15,45,0.082000,10.830000,0.000000,0.035725,2,0.000000,0.000000
1,8,16,0,0.082000,11.650000,0.000000,0.071425,2,0.000000,0.000000
1,8,16,15,0.082000,11.650000,0.000000,0.071425,2,0.000000,0.000000
1,8,16,30,0.082000,11.650000,0.000000,0.071425,2,0.000000,0.000000
1,8,16,45,0.082000,11.650000,0.000000,0.071425,2,0.000000,0.000000
1,8,17,0,0.082000,11.580000,0.000000,0.107150,2,0.000000,0.000000
1,8,17,15,0.082000,11.580000,0.000000,0.107150,2,0.000000,0.000000
1,8,17,30,0.082000,11.580000,0.000000,0.107150,2,0.000000,0.000000
1,8,17,45,0.082000,11.580000,0.000000,0.107150,2,0.000000,0.000000
1,8,18,0,0.082000,10.420000,0.000000,0.142850,2,0.000000,0.000000
1,8,18,15,0.082000,10.420000,0.000000,0.142850,2,0.000000,0.000000
1,8,18,30,0.082000,10.420000,0.000000,0.142850,2,0.000000,0.000000
1,8,18,45,0.082000,10.420000,0.000000,0.142850,2,0.000000,0.000000
1,8,19,0,0.082000,8.200000,0.000000,0.178575,2,0.000000,0.000000
1,8,19,15,0.082000,8.200000,0.000000,0.178575,2,0.000000,0.000000
1,8,19,30,0.082000,8.200000,0.000000,0.178575,2,0.000000,0.000000
1,8,19,45,0.082000,8.200000,0.000000,0.178575,2,0.000000,0.000000
