electric_vehicle_charger_state,electric_vehicle_id,electric_vehicle_battery_capacity_khw,current_soc,electric_vehicle_departure_time,electric_vehicle_required_soc_departure,electric_vehicle_estimated_arrival_time,electric_vehicle_estimated_soc_arrival
1,Electric_Vehicle_2,50,36.15,14.0,86.0,,
1,Electric_Vehicle_2,50,17.18,13.0,86.0,,
1,Electric_Vehicle_2,50,12.35,12.0,86.0,,
1,Electric_Vehicle_2,50,22.06,11.0,86.0,,
1,Electric_Vehicle_2,50,37.9,10.0,86.0,,
1,Electric_Vehicle_2,50,21.88,9.0,86.0,,
1,Electric_Vehicle_2,50,23.34,8.0,86.0,,
1,Electric_Vehicle_2,50,26.28,7.0,86.0,,
1,Electric_Vehicle_2,50,28.86,6.0,86.0,,
1,Electric_Vehicle_2,50,27.06,5.0,86.0,,
1,Electric_Vehicle_2,50,28.01,4.0,86.0,,
1,Electric_Vehicle_2,50,27.37,3.0,86.0,,
1,Electric_Vehicle_2,50,12.47,2.0,86.0,,
1,Electric_Vehicle_2,50,21.44,1.0,86.0,,
1,Electric_Vehicle_2,50,34.65,0.0,86.0,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
2,Electric_Vehicle_2,50,24.06,,,1.0,45.0
2,Electric_Vehicle_2,50,22.5,,,0.0,45.0
1,Electric_Vehicle_2,50,30.93,18.0,86.0,,
1,Electric_Vehicle_2,50,17.66,17.0,86.0,,
1,Electric_Vehicle_2,50,10.42,16.0,86.0,,
1,Electric_Vehicle_2,50,25.46,15.0,86.0,,
1,Electric_Vehicle_2,50,27.79,14.0,86.0,,
1,Electric_Vehicle_2,50,17.79,13.0,86.0,,
1,Electric_Vehicle_2,50,11.51,12.0,86.0,,
1,Electric_Vehicle_2,50,18.6,11.0,86.0,,
1,Electric_Vehicle_2,50,14.86,10.0,86.0,,
1,Electric_Vehicle_2,50,19.14,9.0,86.0,,
1,Electric_Vehicle_2,50,34.97,8.0,86.0,,
1,Electric_Vehicle_2,50,18.76,7.0,86.0,,
1,Electric_Vehicle_2,50,28.64,6.0,86.0,,
1,Electric_Vehicle_2,50,33.67,5.0,86.0,,
1,Electric_Vehicle_2,50,20.9,4.0,86.0,,
1,Electric_Vehicle_2,50,24.04,3.0,86.0,,
1,Electric_Vehicle_2,50,17.0,2.0,86.0,,
1,Electric_Vehicle_2,50,19.65,1.0,86.0,,
1,Electric_Vehicle_2,50,31.41,0.0,86.0,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
2,Electric_Vehicle_2,50,32.78,,,1.0,51.0
2,Electric_Vehicle_2,50,25.5,,,0.0,51.0
1,Electric_Vehicle_2,50,24.74,10.0,82.0,,
1,Electric_Vehicle_2,50,31.18,9.0,82.0,,
1,Electric_Vehicle_2,50,23.96,8.0,82.0,,
1,Electric_Vehicle_2,50,11.73,7.0,82.0,,
1,Electric_Vehicle_2,50,17.48,6.0,82.0,,
1,Electric_Vehicle_2,50,25.98,5.0,82.0,,
