Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh],Solar Generation [W/kW],Occupant Count [people],Cooling Temperature Set Point [C],Heating Temperature Set Point [C],Cooling Device Load Schedule [On/Off],Heating Device Load Schedule [On/Off]
6,1,1,1,28.1219624277523,0,49.774185554176,0.567641894272677,0,0.0,0,0.0,0.0,30.0,,1,0
6,2,1,1,27.9394669265402,0,49.8430953522941,0.567641894272677,0,0.0,0,0.0,0.0,30.0,,1,0
6,3,1,1,27.7802986138837,0,49.9654446181981,0.567641894272677,0,0.0,0,0.0,0.0,30.0,,1,0
6,4,1,1,27.6426251310575,0,50.0260293434432,0.567641894272677,0,0.0,0,0.0,0.0,30.0,,1,0
6,5,1,1,27.5263836869264,0,50.0439566380947,0.567641894272677,0,0.0,0,0.0,0.0,30.0,,1,0
6,6,1,1,27.5784703851797,0,49.9635231967391,0.567641894272677,0,0.0,0,12074.5,0.0,30.0,,1,0
6,7,1,1,27.7537223122453,0,49.912151908923,0.567641894272677,0,0.0,0,95127.2,0.0,30.0,,1,0
6,8,1,1,27.9767495959727,0,49.7086725811427,0.567641894272677,0,0.0,0,253607.0,0.0,29.9999999999999,,1,0
6,9,1,1,28.1938823481934,0,49.6328571136387,0.567641894272677,0,0.0,0,419096.0,0.0,29.9999999999999,,1,0
6,10,1,1,28.3465601398047,0,49.5211167221649,0.567641894272677,0,0.0,0,562741.0,0.0,30.0,,1,0
6,11,1,1,28.4862476005732,0,49.4346586352509,0.567641894272677,0,0.0,0,642262.0,0.0,30.0,,1,0
6,12,1,1,28.6389605311499,0,49.3080033868046,0.567641894272677,0,0.0,0,676939.0,0.0,30.0,,1,0
6,13,1,1,28.7907926019502,0,49.2129632298929,0.567641894272677,0,0.0,0,670825.0,0.0,30.0,,1,0
6,14,1,1,28.930581353677,0,49.0543189909252,0.567641894272677,0,0.0,0,621525.0,0.0,30.0,,1,0
