Mes,Energia_kWh,Custo_EUR,Preco_medio
Jan,13351.750002264977,1238.0634001474828,0.09272667627370637
Fev,11965.999990582466,1112.8629207592458,0.0930020827039191
Mar,10456.499991893768,965.9509404152632,0.09237803673926274
Abr,7478.24999165535,683.7116632834077,0.09142669261476033
Mai,5266.500004172325,478.9695038832724,0.09094645466701115
Jun,4676.999993801117,422.2997244466096,0.09029286401674674
Jul,4566.750001907349,413.93379337340593,0.09064078243839106
Ago,4958.499991893768,447.5948490127921,0.09026819597550208
Set,5589.999995231628,511.5863968078047,0.09151813904189574
Out,7787.250000119209,723.2613887507468,0.09287763828561751
Nov,9357.499996423721,866.184738188982,0.0925658283216696
Dez,13956.499995708466,1288.2578634172678,0.09230522436236871
