Hours since 00:00 Jan 1,Hourly Data: AC inverter power (W)
0.5,0
1.5,0
2.5,0
3.5,0
4.5,0
5.5,0
6.5,0
7.5,11.0882
8.5,109.836
9.5,191.27
10.5,273.692
11.5,342.301
12.5,312.278
13.5,197.193
14.5,122.51
15.5,48.9231
16.5,0
17.5,0
18.5,0
19.5,0
20.5,0
21.5,0
22.5,0
23.5,0
24.5,0
25.5,0
26.5,0
27.5,0
28.5,0
29.5,0
30.5,0
31.5,13.718
32.5,261.214
33.5,445.404
34.5,547.31
35.5,586.717
36.5,566.156
37.5,513.769
38.5,386.375
39.5,224.099
40.5,0.131332
41.5,0
42.5,0
43.5,0
44.5,0
45.5,0
46.5,0
47.5,0
48.5,0
49.5,0
50.5,0
51.5,0
52.5,0
53.5,0
54.5,0
55.5,15.6739
56.5,219.517
57.5,396.958
58.5,432.04
59.5,496.582
60.5,532.749
61.5,459.056
62.5,415.204
63.5,201.544
64.5,0.888799
65.5,0
66.5,0
67.5,0
68.5,0
69.5,0
70.5,0
71.5,0
72.5,0
73.5,0
74.5,0
75.5,0
76.5,0
77.5,0
78.5,0
79.5,11.8992
80.5,165.942
81.5,253.752
82.5,377.819
83.5,368.231
84.5,369.301
85.5,172.37
86.5,82.6775
87.5,8.05288
88.5,0
89.5,0
90.5,0
91.5,0
92.5,0
93.5,0
94.5,0
95.5,0
96.5,0
97.5,0
98.5,0
99.5,0
100.5,0
101.5,0
102.5,0
103.5,13.1032
104.5,246.927
105.5,397.249
106.5,435.878
107.5,549.925
108.5,535.161
109.5,483.268
110.5,389.711
111.5,217.474
112.5,4.4981
113.5,0
114.5,0
115.5,0
116.5,0
117.5,0
118.5,0
119.5,0
120.5,0
121.5,0
122.5,0
123.5,0
124.5,0
125.5,0
126.5,0
127.5,6.70681
128.5,134.106
129.5,260.117
130.5,294.955
131.5,252.956
132.5,300.626
133.5,240.267
134.5,284.231
135.5,105.054
136.5,0
137.5,0
138.5,0
139.5,0
140.5,0
141.5,0
142.5,0
143.5,0
144.5,0
145.5,0
146.5,0
147.5,0
148.5,0
149.5,0
150.5,0
151.5,12.1373
152.5,153.257
153.5,223.319
154.5,309.712
155.5,304.734
156.5,220.277
157.5,193.34
158.5,190.948
159.5,96.8756
160.5,0
161.5,0
162.5,0
163.5,0
164.5,0
165.5,0
166.5,0
167.5,0
168.5,0
169.5,0
170.5,0
171.5,0
172.5,0
173.5,0
174.5,0
175.5,14.373
176.5,293.472
177.5,449.281
178.5,572.286
179.5,621.176
180.5,618.477
181.5,559.786
182.5,439.717
183.5,261.096
184.5,3.73652
185.5,0
186.5,0
187.5,0
188.5,0
189.5,0
190.5,0
191.5,0
192.5,0
193.5,0
194.5,0
195.5,0
196.5,0
197.5,0
198.5,0
199.5,12.4549
200.5,304.272
201.5,372.183
202.5,363.732
203.5,477.927
204.5,503.966
205.5,412.249
206.5,411.195
207.5,262.251
208.5,9.11048
209.5,0
210.5,0
211.5,0
212.5,0
213.5,0
214.5,0
215.5,0
216.5,0
217.5,0
218.5,0
219.5,0
220.5,0
221.5,0
222.5,0
223.5,17.2444
224.5,311.058
225.5,486.203
226.5,516.34
227.5,497.285
228.5,433.882
229.5,457.538
230.5,402.142
231.5,259.137
232.5,3.7762
233.5,0
234.5,0
235.5,0
236.5,0
237.5,0
238.5,0
239.5,0
240.5,0
241.5,0
