Mes,Energia_kWh,Custo_EUR,Preco_medio
Jan,13689.261114120483,1269.558414414525,0.09274119354075104
Fev,12378.384568095207,1152.4740982642397,0.09310375614235607
Mar,10488.227869373746,971.6557394486578,0.09264250849144408
Abr,7119.9206792797195,651.7984213306906,0.09154574196697782
Mai,4085.3557299289387,369.03517875065177,0.09033122282280932
Jun,3606.1911868464667,324.1442140753452,0.0898854767483368
Jul,3188.6677308005746,284.4284904691414,0.08919978953019678
Ago,3943.8160631537903,353.0473825362508,0.08951923134415297
Set,5097.684892221121,467.00403186885904,0.09161100416023947
Out,7862.035659005865,732.6812028643149,0.0931923021774949
Nov,9631.76572813373,893.4316863776272,0.09275886806174845
Dez,14489.228189468384,1338.7739726429572,0.09239788035197459
