Mes,Energia_kWh,Custo_EUR,Preco_medio
Jan,13026.813988037407,1207.1299219442287,0.09266501564025882
Fev,11591.779092520475,1077.8192586443965,0.09298134911317045
Mar,9443.11397252325,871.8934631357083,0.09233113840123798
Abr,6313.329385505058,575.2559132875725,0.09111767787822349
Mai,3680.727882712614,329.6601256639404,0.08956384067734675
Jun,3135.5413434901275,279.07545028855856,0.08900391342884466
Jul,2943.7662019175477,260.271300194953,0.08841439242879214
Ago,3487.5230904072523,310.043438795385,0.08890075585397197
Set,4229.170351804234,382.84749862010534,0.09052543803461978
Out,6795.257727471646,630.0553370703136,0.09271985881023269
Nov,8739.17940761149,808.6721163557248,0.09253410173172581
Dez,13624.681596070528,1257.2016552035607,0.09227383747199994
