month,hour,day_type,daylight_savings_status,indoor_dry_bulb_temperature,average_unmet_cooling_setpoint_difference,indoor_relative_humidity,non_shiftable_load,dhw_demand,cooling_demand,heating_demand,solar_generation,occupant_count,indoor_dry_bulb_temperature_cooling_set_point,indoor_dry_bulb_temperature_heating_set_point,hvac_mode
6,1,1,1,28.121962,0.0,49.774185,0.5676419,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0
6,2,1,1,27.939466,0.0,49.843094,0.5676419,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0
6,3,1,1,27.780298,0.0,49.965446,0.5676419,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0
6,4,1,1,27.642626,0.0,50.026028,0.5676419,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0
6,5,1,1,27.526384,0.0,50.043957,0.5676419,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0
6,6,1,1,27.57847,0.0,49.963524,0.5676419,0.0,0.0,0.0,12.0745,0.0,30.0,30.0,0
6,7,1,1,27.753723,0.0,49.91215,0.5676419,0.0,0.0,0.0,95.1272,0.0,30.0,30.0,0
6,8,1,1,27.97675,0.0,49.70867,0.5676419,0.0,0.0,0.0,253.607,0.0,30.0,30.0,1
6,9,1,1,28.193882,0.0,49.63286,0.5676419,0.0,0.0,0.0,419.096,0.0,30.0,30.0,1
6,10,1,1,28.34656,0.0,49.52112,0.5676419,0.0,0.0,0.0,562.741,0.0,30.0,30.0,0
6,11,1,1,28.486248,0.0,49.434658,0.5676419,0.0,0.0,0.0,642.262,0.0,30.0,30.0,0
6,12,1,1,28.63896,0.0,49.308002,0.5676419,0.0,0.0,0.0,676.939,0.0,30.0,30.0,0
6,13,1,1,28.790792,0.0,49.212963,0.5676419,0.0,0.0,0.0,670.825,0.0,30.0,30.0,0
6,14,1,1,28.930582,0.0,49.054317,0.5676419,0.0,0.0,0.0,621.525,0.0,30.0,30.0,0
6,15,1,1,29.091837,0.0,48.879524,0.5676419,0.0,0.0,0.0,530.373,0.0,30.0,30.0,0
6,16,1,1,29.298956,0.0,48.680702,0.5676419,0.0,0.0,0.0,400.258,0.0,30.0,30.0,0
6,17,1,1,29.4782,0.0,48.658485,0.5676419,0.0,0.0,0.0,235.398,0.0,30.0,30.0,0
6,18,1,1,29.566217,0.0,48.654514,0.5676419,0.0,0.0,0.0,87.1374,0.0,30.0,30.0,1
6,19,1,1,29.452785,0.0,48.856686,0.5676419,0.0,0.0,0.0,9.35545,0.0,30.0,30.0,0
6,20,1,1,29.213547,0.0,48.98773,0.5676419,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0
6,21,1,1,28.96977,0.0,49.1709,0.5676419,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0
6,22,1,1,28.73463,0.0,49.475834,0.5676419,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0
6,23,1,1,28.545492,0.0,49.717518,0.5676419,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0
6,24,1,1,28.393257,0.0,49.85379,0.5676419,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0
6,1,2,1,28.554586,0.0,49.567516,1.4191047,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0
6,2,2,1,28.525738,0.0,49.66698,1.4191047,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0
6,3,2,1,28.445538,0.0,49.702244,1.4191047,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0
6,4,2,1,28.338501,0.0,49.738365,1.4191047,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0
6,5,2,1,28.237339,0.0,49.762184,1.4191047,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0
6,6,2,1,27.69614,0.0,49.994194,1.6626533,0.0,9.424588,0.0,7.35348,3.3896222,28.0,28.0,1
6,7,2,1,25.980412,0.0,50.023575,1.6626533,0.0,13.72709,0.0,89.2398,6.471097,26.0,26.0,1
6,8,2,1,26.0,0.0,49.99919,3.3253067,0.0,13.669312,0.0,238.795,30.814749,26.0,26.0,1
6,9,2,1,26.0,0.0,50.0,3.3253067,0.0,13.783355,0.0,386.274,30.814749,26.0,26.0,1
6,10,2,1,26.0,0.0,50.0,3.3253067,0.0,13.369371,0.0,558.966,26.757618,26.0,26.0,1
6,11,2,1,26.0,0.0,50.0,3.3253067,0.0,13.756456,0.0,579.218,30.814749,26.0,26.0,1
6,12,2,1,26.0,0.0,49.99963,3.1257882,0.0,12.231057,0.0,554.09,16.332703,26.0,26.0,1
6,13,2,1,26.0,0.0,49.999035,3.3253067,0.0,13.902894,0.0,529.468,30.814749,26.0,26.0,1
6,14,2,1,26.0,0.0,49.998196,3.3253067,0.0,13.660323,0.0,471.897,26.757618,26.0,26.0,1
6,15,2,1,26.0,0.0,49.999992,3.3253067,0.0,14.400407,0.0,443.519,30.814749,26.0,26.0,1
6,16,2,1,26.0,0.0,49.999763,3.3253067,0.0,14.700637,0.0,374.987,30.814749,26.0,26.0,1
6,17,2,1,26.0,0.0,50.0,1.6626533,0.0,11.00497,0.0,244.04,9.86072,26.0,26.0,1
6,18,2,1,27.76632,0.0,49.677402,0.66506135,0.0,4.961169,0.0,86.8898,3.3896222,30.0,30.0,0
6,19,2,1,28.569368,0.0,49.59775,0.66506135,0.0,0.0,0.0,9.33897,3.3896222,30.0,30.0,0
6,20,2,1,28.509666,0.0,49.697212,0.66506135,0.0,0.0,0.0,0.0,3.3896222,30.0,30.0,0
6,21,2,1,28.3368,0.0,49.86713,0.66506135,0.0,0.0,0.0,0.0,3.3896222,30.0,30.0,0
6,22,2,1,28.130236,0.0,49.97388,0.66506135,0.0,0.0,0.0,0.0,1.5407374,30.0,30.0,0
