electric_vehicle_charger_state,charger,electric_vehicle_departure_time,electric_vehicle_required_soc_departure,electric_vehicle_estimated_arrival_time, electric_vehicle_estimated_soc_arrival
1,charger_4_1,9,88,,
1,charger_4_1,8,88,,
1,charger_4_1,7,88,,
1,charger_4_1,6,88,,
1,charger_4_1,5,88,,
1,charger_4_1,4,88,,
1,charger_4_1,3,88,,
1,charger_4_1,2,88,,
1,charger_4_1,1,88,,
1,charger_4_1,0,88,,
3,,,,,
3,,,,,
2,charger_4_1,,,0,79
1,charger_4_1,21,88,,
1,charger_4_1,20,88,,
1,charger_4_1,19,88,,
1,charger_4_1,18,88,,
1,charger_4_1,17,88,,
1,charger_4_1,16,88,,
1,charger_4_1,15,88,,
1,charger_4_1,14,88,,
1,charger_4_1,13,88,,
1,charger_4_1,12,88,,
1,charger_4_1,11,88,,
1,charger_4_1,10,88,,
1,charger_4_1,9,88,,
1,charger_4_1,8,88,,
1,charger_4_1,7,88,,
1,charger_4_1,6,88,,
1,charger_4_1,5,88,,
1,charger_4_1,4,88,,
1,charger_4_1,3,88,,
1,charger_4_1,2,88,,
1,charger_4_1,1,88,,
1,charger_4_1,0,88,,
2,charger_4_1,,,0,87
1,charger_4_1,19,88,,
1,charger_4_1,18,88,,
1,charger_4_1,17,88,,
1,charger_4_1,16,88,,
1,charger_4_1,15,88,,
1,charger_4_1,14,88,,
1,charger_4_1,13,88,,
1,charger_4_1,12,88,,
1,charger_4_1,11,88,,
1,charger_4_1,10,88,,
1,charger_4_1,9,88,,
1,charger_4_1,8,88,,
1,charger_4_1,7,88,,
1,charger_4_1,6,88,,
1,charger_4_1,5,88,,
1,charger_4_1,4,88,,
1,charger_4_1,3,88,,
1,charger_4_1,2,88,,
1,charger_4_1,1,88,,
1,charger_4_1,0,88,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
2,charger_4_1,,,0,88
1,charger_4_1,14,61,,
1,charger_4_1,13,61,,
1,charger_4_1,12,61,,
1,charger_4_1,11,61,,
1,charger_4_1,10,61,,
1,charger_4_1,9,61,,
1,charger_4_1,8,61,,
1,charger_4_1,7,61,,
1,charger_4_1,6,61,,
1,charger_4_1,5,61,,
1,charger_4_1,4,61,,
1,charger_4_1,3,61,,
1,charger_4_1,2,61,,
1,charger_4_1,1,61,,
1,charger_4_1,0,61,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
2,charger_4_1,,,0,58
1,charger_4_1,14,89,,
1,charger_4_1,13,89,,
1,charger_4_1,12,89,,
1,charger_4_1,11,89,,
1,charger_4_1,10,89,,
1,charger_4_1,9,89,,
1,charger_4_1,8,89,,
1,charger_4_1,7,89,,
1,charger_4_1,6,89,,
1,charger_4_1,5,89,,
1,charger_4_1,4,89,,
1,charger_4_1,3,89,,
1,charger_4_1,2,89,,
1,charger_4_1,1,89,,
1,charger_4_1,0,89,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
2,charger_4_1,,,0,86
1,charger_4_1,13,88,,
1,charger_4_1,12,88,,
1,charger_4_1,11,88,,
1,charger_4_1,10,88,,
1,charger_4_1,9,88,,
1,charger_4_1,8,88,,
1,charger_4_1,7,88,,
1,charger_4_1,6,88,,
1,charger_4_1,5,88,,
1,charger_4_1,4,88,,
1,charger_4_1,3,88,,
1,charger_4_1,2,88,,
1,charger_4_1,1,88,,
1,charger_4_1,0,88,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
2,charger_4_1,,,0,85
1,charger_4_1,13,88,,
1,charger_4_1,12,88,,
1,charger_4_1,11,88,,
1,charger_4_1,10,88,,
1,charger_4_1,9,88,,
1,charger_4_1,8,88,,
1,charger_4_1,7,88,,
1,charger_4_1,6,88,,
1,charger_4_1,5,88,,
1,charger_4_1,4,88,,
1,charger_4_1,3,88,,
1,charger_4_1,2,88,,
1,charger_4_1,1,88,,
1,charger_4_1,0,88,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
