Outdoor Drybulb Temperature [C],Relative Humidity [%],Diffuse Solar Radiation [W/m2],Direct Solar Radiation [W/m2],6h Prediction Outdoor Drybulb Temperature [C],12h Prediction Outdoor Drybulb Temperature [C],24h Prediction Outdoor Drybulb Temperature [C],6h Prediction Relative Humidity [%],12h Prediction Relative Humidity [%],24h Prediction Relative Humidity [%],6h Prediction Diffuse Solar Radiation [W/m2],12h Prediction Diffuse Solar Radiation [W/m2],24h Prediction Diffuse Solar Radiation [W/m2],6h Prediction Direct Solar Radiation [W/m2],12h Prediction Direct Solar Radiation [W/m2],24h Prediction Direct Solar Radiation [W/m2]
20.0,84.0,0.0,0.0,18.3,22.8,20.0,81.0,68.0,81.0,25.0,964.0,0.0,100.0,815.0,0.0
20.1,79.0,0.0,0.0,19.4,22.8,19.4,79.0,71.0,87.0,201.0,966.0,0.0,444.0,747.0,0.0
19.7,78.0,0.0,0.0,21.1,22.2,19.4,73.0,73.0,87.0,420.0,683.0,0.0,592.0,291.0,0.0
19.3,78.0,0.0,0.0,22.2,22.8,19.4,71.0,71.0,90.0,554.0,522.0,0.0,491.0,153.0,0.0
18.9,78.0,0.0,0.0,21.7,22.2,18.9,73.0,71.0,90.0,778.0,444.0,0.0,734.0,174.0,0.0
18.3,81.0,0.0,0.0,22.2,21.1,18.3,71.0,76.0,93.0,903.0,392.0,0.0,811.0,396.0,0.0
18.3,81.0,25.0,100.0,22.8,20.6,18.9,68.0,78.0,90.0,964.0,231.0,15.0,815.0,320.0,14.0
19.4,79.0,201.0,444.0,22.8,20.6,20.0,71.0,73.0,87.0,966.0,27.0,116.0,747.0,143.0,42.0
21.1,73.0,420.0,592.0,22.2,20.0,20.0,73.0,76.0,87.0,683.0,0.0,252.0,291.0,0.0,74.0
22.2,71.0,554.0,491.0,22.8,20.6,20.0,71.0,70.0,84.0,522.0,0.0,292.0,153.0,0.0,35.0
21.7,73.0,778.0,734.0,22.2,20.6,21.7,71.0,73.0,76.0,444.0,0.0,436.0,174.0,0.0,95.0
22.2,71.0,903.0,811.0,21.1,19.4,21.7,76.0,81.0,73.0,392.0,0.0,604.0,396.0,0.0,209.0
22.8,68.0,964.0,815.0,20.6,20.0,22.2,78.0,81.0,71.0,231.0,0.0,589.0,320.0,0.0,144.0
22.8,71.0,966.0,747.0,20.6,19.4,21.0,73.0,87.0,78.0,27.0,0.0,554.0,143.0,0.0,133.0
