Mes,Energia_kWh,Custo_EUR,Preco_medio
Jan,13599.913162231445,1261.2619574578712,0.0927404419728608
Fev,12261.919848322868,1141.4082817374729,0.09308560941976714
Mar,10360.87846292276,959.4933156411421,0.09260733238738071
Abr,7109.440171059221,650.6423050624543,0.09151807869641533
Mai,4168.331623343052,376.82664024366454,0.0904022698514196
Jun,3657.4163314141333,328.76324799972326,0.08988947885859293
Jul,3229.4961689261254,288.15599782025214,0.08922630117752083
Ago,3909.6255581644364,349.8770647636446,0.08949119539926259
Set,4982.380347065395,455.92947696623975,0.09150836451793182
Out,7697.048616273794,716.9868629662201,0.093150881423602
Nov,9507.275674380828,881.486268007141,0.09271701991165296
Dez,14347.538249492645,1325.4004611896817,0.09237824901679911
