Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh]
1,1,8,0,22.8,0.0,53.12,10.3,2.04,2.46,0.0
1,2,8,0,22.54,0.0,51.02,7.6,2.52,1.36,0.0
1,3,8,0,22.64,0.0,48.25,11.9,0.36,2.07,0.0
1,4,8,0,22.47,0.0,47.55,7.0,1.68,1.27,0.0
1,5,8,0,22.51,0.0,46.37,10.1,0.0,1.61,0.0
1,6,8,0,22.62,0.0,45.61,13.3,1.2,2.34,0.0
1,7,8,0,22.62,0.0,45.76,11.9,8.88,2.19,0.0
1,8,8,0,22.77,0.0,45.54,18.8,19.68,4.92,0.0
1,9,8,0,22.66,0.0,45.76,13.2,12.96,2.21,0.0
1,10,8,0,22.64,0.0,45.63,13.2,13.68,2.55,0.0
1,11,8,0,22.64,0.0,45.89,11.9,20.88,2.76,0.0
1,12,8,0,22.84,0.0,46.38,16.3,7.32,6.13,0.0
1,13,8,0,22.93,0.0,47.9,13.4,4.44,6.03,0.0
1,14,8,0,23.03,0.0,48.64,15.8,2.28,6.98,0.0
1,15,8,0,22.97,0.0,49.23,14.5,1.32,5.84,0.0
1,16,8,0,23.03,0.0,49.57,15.6,0.84,6.57,0.0
1,17,8,0,22.91,0.0,50.73,12.1,2.16,4.43,0.0
1,18,8,0,22.94,0.0,51.23,13.7,2.64,5.71,0.0
1,19,8,0,23.27,0.0,50.09,21.0,6.96,11.35,0.0
1,20,8,0,23.07,0.0,50.85,13.4,4.56,5.77,0.0
1,21,8,0,22.99,0.0,51.65,12.7,1.44,5.63,0.0
1,22,8,0,23.21,0.0,51.26,18.2,6.96,10.05,0.0
1,23,8,0,23.1,0.0,52.02,13.6,1.92,6.28,0.0
1,24,8,0,22.97,0.0,52.85,12.4,0.36,5.18,0.0
1,1,5,0,22.94,0.0,53.49,12.5,1.2,5.37,0.0
1,2,5,0,22.86,0.0,54.85,9.4,0.12,3.72,0.0
1,3,5,0,22.79,0.0,55.95,8.3,0.24,3.3,0.0
1,4,5,0,22.82,0.0,56.1,10.8,0.12,4.38,0.0
1,5,5,0,22.85,0.0,55.98,11.9,0.0,4.9,0.0
1,6,5,0,22.82,0.0,56.15,10.5,0.84,4.13,0.0
1,7,5,0,22.78,0.0,56.74,9.4,11.28,3.57,0.0
1,8,5,0,22.85,0.0,56.97,12.8,19.68,5.58,0.0
1,9,5,0,22.85,0.0,56.54,13.1,6.36,5.41,0.0
1,10,5,0,22.82,0.0,55.66,11.0,5.4,4.44,0.0
1,11,5,0,22.81,0.0,54.05,10.4,16.08,4.7,0.0
1,12,5,0,22.87,0.0,51.55,12.7,5.28,6.25,0.0
1,13,5,0,22.81,0.0,48.66,9.4,2.64,4.43,0.0
1,14,5,0,22.96,0.0,44.7,13.9,1.32,6.63,0.0
1,15,5,0,22.93,0.0,41.36,12.1,1.2,5.46,0.0
1,16,5,0,22.84,0.0,39.23,10.5,5.4,3.65,0.0
1,17,5,0,22.75,0.0,36.91,10.7,3.84,2.71,0.0
1,18,5,0,22.76,0.0,35.18,12.4,2.4,3.14,0.0
1,19,5,0,22.76,0.0,33.91,12.4,3.84,2.97,0.0
1,20,5,0,22.81,0.0,32.54,16.7,3.0,4.02,0.0
1,21,5,0,22.82,0.0,30.89,19.1,1.8,4.33,0.0
1,22,5,0,22.75,0.0,29.43,16.7,13.32,2.55,0.0
