Current Date,Day Name,Time,Leave Home,Arrive Home,Trip Time,State,Arrival Soc,Departure Soc,Charger
2023-07-01,6,0.0,12,17,0.75,Charging,-1,87,0
2023-07-01,6,0.25,12,17,0.75,Charging,-1,87,0
2023-07-01,6,0.5,12,17,0.75,Charging,-1,87,0
2023-07-01,6,0.75,12,17,0.75,Charging,-1,87,0
2023-07-01,6,1.0,12,17,0.75,Charging,-1,87,0
2023-07-01,6,1.25,12,17,0.75,Charging,-1,87,0
2023-07-01,6,1.5,12,17,0.75,Charging,-1,87,0
2023-07-01,6,1.75,12,17,0.75,Charging,-1,87,0
2023-07-01,6,2.0,12,17,0.75,Charging,-1,87,0
2023-07-01,6,2.25,12,17,0.75,Charging,-1,87,0
2023-07-01,6,2.5,12,17,0.75,Charging,-1,87,0
2023-07-01,6,2.75,12,17,0.75,Charging,-1,87,0
2023-07-01,6,3.0,12,17,0.75,Charging,-1,87,0
2023-07-01,6,3.25,12,17,0.75,Charging,-1,87,0
2023-07-01,6,3.5,12,17,0.75,Charging,-1,87,0
2023-07-01,6,3.75,12,17,0.75,Charging,-1,87,0
2023-07-01,6,4.0,12,17,0.75,Charging,-1,87,0
2023-07-01,6,4.25,12,17,0.75,Charging,-1,87,0
2023-07-01,6,4.5,12,17,0.75,Charging,-1,87,0
2023-07-01,6,4.75,12,17,0.75,Charging,-1,87,0
2023-07-01,6,5.0,12,17,0.75,Charging,-1,87,0
2023-07-01,6,5.25,12,17,0.75,Charging,-1,87,0
2023-07-01,6,5.5,12,17,0.75,Charging,-1,87,0
2023-07-01,6,5.75,12,17,0.75,Charging,-1,87,0
2023-07-01,6,6.0,12,17,0.75,Charging,-1,87,0
2023-07-01,6,6.25,12,17,0.75,Charging,-1,87,0
2023-07-01,6,6.5,12,17,0.75,Charging,-1,87,0
2023-07-01,6,6.75,12,17,0.75,Charging,-1,87,0
2023-07-01,6,7.0,12,17,0.75,Charging,-1,87,0
2023-07-01,6,7.25,12,17,0.75,Charging,-1,87,0
2023-07-01,6,7.5,12,17,0.75,Charging,-1,87,0
2023-07-01,6,7.75,12,17,0.75,Charging,-1,87,0
2023-07-01,6,8.0,12,17,0.75,Charging,-1,87,0
2023-07-01,6,8.25,12,17,0.75,Charging,-1,87,0
2023-07-01,6,8.5,12,17,0.75,Charging,-1,87,0
2023-07-01,6,8.75,12,17,0.75,Charging,-1,87,0
2023-07-01,6,9.0,12,17,0.75,Charging,-1,87,0
2023-07-01,6,9.25,12,17,0.75,Charging,-1,87,0
2023-07-01,6,9.5,12,17,0.75,Charging,-1,87,0
2023-07-01,6,9.75,12,17,0.75,Charging,-1,87,0
2023-07-01,6,10.0,12,17,0.75,Charging,-1,87,0
2023-07-01,6,10.25,12,17,0.75,Charging,-1,87,0
2023-07-01,6,10.5,12,17,0.75,Charging,-1,87,0
2023-07-01,6,10.75,12,17,0.75,Charging,-1,87,0
2023-07-01,6,11.0,12,17,0.75,Charging,-1,87,0
2023-07-01,6,11.25,12,17,0.75,Charging,-1,87,0
2023-07-01,6,11.5,12,17,0.75,Charging,-1,87,0
2023-07-01,6,11.75,12,17,0.75,Charging,-1,87,0
2023-07-01,6,12.0,12,17,0.75,Charging,-1,87,0
2023-07-01,6,12.25,12,17,0.75,NoState,-1,-1,-1
2023-07-01,6,12.5,12,17,0.75,NoState,-1,-1,-1
2023-07-01,6,12.75,12,17,0.75,NoState,-1,-1,-1
2023-07-01,6,13.0,12,17,0.75,NoState,-1,-1,-1
2023-07-01,6,13.25,12,17,0.75,NoState,-1,-1,-1
2023-07-01,6,13.5,12,17,0.75,NoState,-1,-1,-1
2023-07-01,6,13.75,12,17,0.75,NoState,-1,-1,-1
2023-07-01,6,14.0,12,17,0.75,NoState,-1,-1,-1
2023-07-01,6,14.25,12,17,0.75,NoState,-1,-1,-1
2023-07-01,6,14.5,12,17,0.75,NoState,-1,-1,-1
2023-07-01,6,14.75,12,17,0.75,NoState,-1,-1,-1
2023-07-01,6,15.0,12,17,0.75,NoState,-1,-1,-1
2023-07-01,6,15.25,12,17,0.75,NoState,-1,-1,-1
