Outdoor Drybulb Temperature (C),Outdoor Relative Humidity (%),Diffuse Solar Radiation (W/m2),Direct Solar Radiation (W/m2),6h Outdoor Drybulb Temperature (C),12h Outdoor Drybulb Temperature (C),24h Outdoor Drybulb Temperature (C),6h Outdoor Relative Humidity (%),12h Outdoor Relative Humidity (%),24h Outdoor Relative Humidity (%),6h Diffuse Solar Radiation (W/m2),12h Diffuse Solar Radiation (W/m2),24h Diffuse Solar Radiation (W/m2),6h Direct Solar Radiation (W/m2),12h Direct Solar Radiation (W/m2),24h Direct Solar Radiation (W/m2)
24.66,77.56,0.0,0.0,24.91063837286892,38.41595750389884,27.611463798620964,72.98027314401716,41.82236136336876,83.23099720203733,54.62592690305676,116.84288555041891,0.0,143.32433464351564,1020.7560931323054,0.0
24.07,85.12,0.0,0.0,27.07656359290199,38.31934945727863,23.515498480575143,87.31765460440384,37.91002338003748,95.35394761973717,78.37547886031273,89.22050449282602,0.0,300.3610606910159,825.0972919589249,0.0
23.9,89.62,0.0,0.0,29.3518332705072,39.150481566402945,23.65944301861671,60.341452678413276,30.190198547595482,66.26640894110882,259.82213408862566,82.85593226809472,0.0,196.69112726905203,987.909330196628,0.0
23.87,91.88,0.0,0.0,31.032975175183328,40.93478944064445,26.68600357201619,50.06392534987355,31.51973855212323,94.45636984635794,248.63152504199184,105.13011859520627,0.0,465.4831960253559,854.3318251994236,0.0
23.83,93.06,0.0,0.0,33.81446723393796,39.71784097764676,24.467757525124085,40.94257926278029,33.11954315785771,100.0,272.8251592830484,75.62798569905776,0.0,569.2033321408306,941.2433251898634,0.0
23.85,93.25,0.0,0.0,36.44267277981112,38.721995560016985,25.222325873257702,44.29846175896142,31.612090683683718,100.0,132.196509224438,65.86416328392711,0.0,911.750135702176,468.3834829297313,0.0
24.98,86.19,56.19,140.63,36.919557697577375,34.716494008317895,24.52208599239156,39.48785106794781,30.49608244549808,73.83950553285584,133.81878201486577,41.65716496993322,63.052146973707664,703.6764728259865,234.78136537556014,185.178344448436
26.94,74.56,90.91,268.13,38.9785423294959,33.50566779198031,27.364582942226132,28.588517664515663,56.13421778501101,63.50453916748427,96.56731119647469,0.0,189.49379610348876,916.126750380126,0.0,401.8176150993896
29.3,62.75,218.81,197.38,39.55098320815213,29.976657584791457,30.81295330087539,23.190600979697614,36.91840145828058,65.21075859956859,122.01820987147963,0.0,147.05727390602033,998.7860863672067,0.0,624.643111387923
31.66,52.56,278.2,405.23,39.498923613129044,28.918429858402952,33.26021955702842,27.60493802037334,67.0030273057088,29.821942327181283,128.23572465653933,0.0,148.78285145296525,834.0329660004646,0.0,844.4680671557885
33.87,44.19,328.87,539.94,40.08525428170629,27.676508622732783,35.02097721939927,29.99806308624564,54.172045837523285,27.24100300057678,102.59605911788577,0.0,172.22370471862143,682.6962192234053,0.0,749.1274776471071
35.9,37.88,112.41,874.11,37.52728720903596,26.089806459359433,36.691208449381556,22.400304455729575,59.200376282938656,33.91517094502308,72.89808381664214,0.0,219.14188891242222,586.8953044832238,0.0,1072.821434530928
37.51,33.25,121.83,844.38,36.91681278109303,25.903390632424284,38.72668925081827,36.894178788504675,84.4270823042841,23.77431181642935,57.42243914758625,0.0,106.15591792916666,389.9758929051535,0.0,686.0481127187668
38.69,29.88,116.94,860.31,32.41205455702462,25.72409595927396,38.56336225824167,46.88296255511843,85.04205083002229,32.7753831350558,0.0,0.0,155.3387940411361,0.0,0.0,520.8854304340953
39.3,28.0,114.1,851.91,30.835533317433235,25.26422006934006,38.41185497644129,46.870894585292476,73.76995745675269,18.526004945964562,0.0,0.0,150.66126483107612,0.0,0.0,537.2447270391707
39.53,26.56,107.21,815.19,30.552141557040727,25.186548957878852,39.42017293605862,55.31254959687646,70.31723012845852,30.903234537425156,0.0,0.0,100.1045724763507,0.0,0.0,689.8171276715423
39.16,26.25,99.99,741.94,28.479678874954544,24.059201729214525,40.33298102857114,57.22130949933239,70.7502211781637,16.66554247490559,0.0,0.0,94.99402961331445,0.0,0.0,926.4824182752263
38.12,27.62,84.96,608.73,26.891977031131034,23.315087868847346,37.28779054331658,67.4019307605399,71.25150135910988,19.47812199431881,0.0,0.0,108.99302636844479,0.0,0.0,562.6353983256062
36.11,32.38,56.38,330.48,24.89306204801829,24.264335214361786,34.77935957493004,62.68642812694286,100.0,28.53603155618984,0.0,72.68285341984947,69.20958130048587,0.0,131.84624128055546,213.0252125478632
