Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature (C),Average Unmet Cooling Setpoint Difference (C),Indoor Relative Humidity (%),Equipment Electric Power (kWh),DHW Heating (kWh),Cooling Load (kWh),Heating Load (kWh),Solar Generation (W/kW),Occupant Count (people),Temperature Set Point (C),HVAC Mode (Off/Cooling/Heating)
6,1,5,0,24.27851279406932,-0.1659316503751178,60.70361902317244,0.1873328365336289,0.0,0.0,0.0,0.0,1.0,24.44444444444444,1
6,2,5,0,24.264733604779455,-0.1797108396649918,61.14069016634381,0.1859177685232601,0.0,0.0,0.0,0.0,1.0,24.444444444444446,1
6,3,5,0,24.214113772319138,-0.2303306721253051,61.77937527940428,0.1846159898508742,0.0,0.0,0.0,0.0,1.0,24.444444444444443,1
6,4,5,0,24.11943358400182,-0.3250108604426245,62.557429248744015,0.1873515063247411,0.0,0.0,0.0,0.0,1.0,24.444444444444443,1
6,5,5,0,23.99550010426221,-0.4489443401822335,64.07880110085846,0.2022366713500273,0.0,0.0,0.0,0.0,1.0,24.444444444444443,1
6,6,5,0,23.893331089993723,-0.5511133544507203,65.58923759832027,0.2308753685004064,0.0,0.0,0.0,0.0,1.0,24.444444444444443,1
6,7,5,0,24.196460991517014,-0.5813167862607571,64.88055195532527,0.278568908481856,0.0,0.0,0.0,25.331349139364978,1.0,24.77777777777777,1
6,8,5,0,24.84876208077685,-0.15123791922314922,63.01469362874777,0.4547772257175393,0.0,0.0,0.0,91.3025372636674,1.0,25.0,1
6,9,5,0,24.99118019830357,-0.008819801696429153,61.73650735907806,0.6206009337326033,1.3129643214977718,3.8661426979782494,0.0,221.9750196320213,1.0,25.0,1
6,10,5,0,24.998189676685666,-0.0018103233143342834,61.80352150715772,0.7967803708503356,0.0,1.1203837560174366,0.0,401.6440655198635,1.0,25.0,1
6,11,5,0,24.998136797272416,-0.0018632027275948815,61.6127656345438,0.7870043623535974,0.0,1.5132071239258311,0.0,564.9103135172027,1.0,25.00000000000001,1
6,12,5,0,24.99778670426527,-0.0022132957347302806,61.21547129356838,0.6676232643955375,0.1143322596006874,1.819597634550084,0.0,668.9315603227061,0.0,25.0,1
6,13,5,0,24.99682738717525,-0.0031726128247484553,60.611570838496505,0.7598336285099304,0.1143322584601165,2.3073265179476103,0.0,683.7988149642849,1.0,25.0,1
6,14,5,0,24.99549277048286,-0.004507229517141553,59.84257076336705,0.5440133050519659,0.0,2.626637626986993,0.0,687.1585217856914,0.0,25.0,1
6,15,5,0,24.992216966533395,-0.00778303346660536,58.93443229406469,0.4830007205062419,0.1143322217273315,3.2855463507108613,0.0,645.0040155805684,0.0,25.0,1
