building_name,month,rmse,mape
resstock-amy2018-2021-release-1-102040,9,0.67328304,2.106649
resstock-amy2018-2021-release-1-102040,10,0.44477573,1.3364153
resstock-amy2018-2021-release-1-102040,7,0.3654909,1.2209609
resstock-amy2018-2021-release-1-102040,6,0.7893376,2.763724
resstock-amy2018-2021-release-1-102040,5,0.7090259,3.189568
resstock-amy2018-2021-release-1-102040,4,0.4724818,1.8834394
resstock-amy2018-2021-release-1-102040,8,0.59213537,1.9679948
resstock-amy2018-2021-release-1-102040,2,0.579402,2.3690264
resstock-amy2018-2021-release-1-102040,1,0.43190435,1.8230312
resstock-amy2018-2021-release-1-102040,12,0.72214544,3.2607272
resstock-amy2018-2021-release-1-102040,3,0.75565183,3.004248
resstock-amy2018-2021-release-1-102040,11,0.67859083,2.843715
resstock-amy2018-2021-release-1-103125,9,0.6790959,3.0341203
resstock-amy2018-2021-release-1-103125,12,0.5914437,2.5529268
resstock-amy2018-2021-release-1-103125,11,0.57544756,2.2738917
resstock-amy2018-2021-release-1-103125,10,0.53086364,2.381299
resstock-amy2018-2021-release-1-103125,8,0.81645256,3.724371
resstock-amy2018-2021-release-1-103125,2,0.7074774,2.8810568
resstock-amy2018-2021-release-1-103125,6,0.7235843,3.4046268
resstock-amy2018-2021-release-1-103125,5,0.9665118,4.4313
resstock-amy2018-2021-release-1-103125,4,0.42530572,1.7086582
resstock-amy2018-2021-release-1-103125,3,0.64790714,2.526841
resstock-amy2018-2021-release-1-103125,1,0.42822897,1.7881942
resstock-amy2018-2021-release-1-103125,7,0.60422724,2.888311
resstock-amy2018-2021-release-1-103603,9,0.57726854,2.4604163
resstock-amy2018-2021-release-1-103603,11,0.4975775,1.7744443
resstock-amy2018-2021-release-1-103603,10,0.43476087,1.6048272
resstock-amy2018-2021-release-1-103603,8,0.4778696,1.8960931
resstock-amy2018-2021-release-1-103603,12,0.68932,2.582354
resstock-amy2018-2021-release-1-103603,6,0.6044681,2.295165
resstock-amy2018-2021-release-1-103603,5,0.56460935,2.081348
resstock-amy2018-2021-release-1-103603,4,0.52166426,1.848692
resstock-amy2018-2021-release-1-103603,3,0.57042557,1.9634417
resstock-amy2018-2021-release-1-103603,1,0.5541534,1.9538268
resstock-amy2018-2021-release-1-103603,7,0.36061284,1.4528544
resstock-amy2018-2021-release-1-103603,2,0.66275364,2.2918994
resstock-amy2018-2021-release-1-11487,6,0.4833293,1.7385801
resstock-amy2018-2021-release-1-11487,11,0.46589854,1.8963226
resstock-amy2018-2021-release-1-11487,1,0.38634208,1.5931973
resstock-amy2018-2021-release-1-11487,12,0.4414521,1.7471104
resstock-amy2018-2021-release-1-11487,3,0.5210777,2.0952642
resstock-amy2018-2021-release-1-11487,4,0.3882464,1.4742129
resstock-amy2018-2021-release-1-11487,2,0.507187,1.9219435
resstock-amy2018-2021-release-1-11487,7,0.24587433,1.0077511
resstock-amy2018-2021-release-1-11487,8,0.3289774,1.3131915
resstock-amy2018-2021-release-1-11487,10,0.3353865,1.4289194
resstock-amy2018-2021-release-1-11487,5,0.39916405,1.5627332
resstock-amy2018-2021-release-1-11487,9,0.37990376,1.4917823
resstock-amy2018-2021-release-1-119318,12,0.3802931,1.4680921
resstock-amy2018-2021-release-1-119318,11,0.47047156,1.9056097
resstock-amy2018-2021-release-1-119318,10,0.5238913,2.3046527
resstock-amy2018-2021-release-1-119318,9,0.6832631,2.748464
resstock-amy2018-2021-release-1-119318,8,0.68168867,2.5838988
resstock-amy2018-2021-release-1-119318,7,0.426597,1.5139319
resstock-amy2018-2021-release-1-119318,5,0.6233398,2.7171443
resstock-amy2018-2021-release-1-119318,4,0.632349,2.6328459
resstock-amy2018-2021-release-1-119318,3,0.68291736,2.715039
resstock-amy2018-2021-release-1-119318,1,0.6051966,2.510334
resstock-amy2018-2021-release-1-119318,6,0.62256145,2.3404531
resstock-amy2018-2021-release-1-119318,2,0.6323263,2.526734
resstock-amy2018-2021-release-1-122940,12,0.6617987,2.7868588
resstock-amy2018-2021-release-1-122940,11,0.76101124,2.92053
resstock-amy2018-2021-release-1-122940,10,0.503256,2.0976002
resstock-amy2018-2021-release-1-122940,9,0.66585106,2.4375255
resstock-amy2018-2021-release-1-122940,8,0.48740104,2.1027668
resstock-amy2018-2021-release-1-122940,7,0.44372275,1.8121805
resstock-amy2018-2021-release-1-122940,6,0.5136137,2.1714568
resstock-amy2018-2021-release-1-122940,5,0.59488577,2.6188154
resstock-amy2018-2021-release-1-122940,4,0.92063814,3.377749
resstock-amy2018-2021-release-1-122940,3,0.7657075,2.8660622
resstock-amy2018-2021-release-1-122940,2,0.6732106,2.5398352
resstock-amy2018-2021-release-1-122940,1,0.5059888,1.8826157
resstock-amy2018-2021-release-1-123460,9,0.51264495,1.626536
resstock-amy2018-2021-release-1-123460,12,0.6782703,2.6449819
resstock-amy2018-2021-release-1-123460,11,0.92161655,3.262385
resstock-amy2018-2021-release-1-123460,10,0.4974452,1.720694
resstock-amy2018-2021-release-1-123460,8,0.47605383,1.5633799
resstock-amy2018-2021-release-1-123460,1,0.47636157,1.7890632
resstock-amy2018-2021-release-1-123460,6,0.4934056,1.6237509
resstock-amy2018-2021-release-1-123460,5,0.5814258,1.9385583
resstock-amy2018-2021-release-1-123460,4,0.53075457,1.965646
resstock-amy2018-2021-release-1-123460,3,0.6342985,2.573863
resstock-amy2018-2021-release-1-123460,2,0.5583105,2.1869156
resstock-amy2018-2021-release-1-123460,7,0.33913437,1.1030804
resstock-amy2018-2021-release-1-125351,12,0.6463086,2.8291304
resstock-amy2018-2021-release-1-125351,11,1.0999919,4.9792237
resstock-amy2018-2021-release-1-125351,10,0.5404844,2.6757596
resstock-amy2018-2021-release-1-125351,9,0.47354403,2.34191
resstock-amy2018-2021-release-1-125351,8,0.53911835,2.432285
resstock-amy2018-2021-release-1-125351,7,0.3339333,1.6411254
resstock-amy2018-2021-release-1-125351,5,0.48144996,2.1785736
resstock-amy2018-2021-release-1-125351,4,0.5710592,2.4731772
resstock-amy2018-2021-release-1-125351,3,0.6715633,2.927053
resstock-amy2018-2021-release-1-125351,2,0.54138184,2.3846645
resstock-amy2018-2021-release-1-125351,1,0.5471281,2.3968701
resstock-amy2018-2021-release-1-125351,6,0.39040998,1.6549923
resstock-amy2018-2021-release-1-135700,12,0.63506377,2.6886787
resstock-amy2018-2021-release-1-135700,10,0.27551198,0.8711595
resstock-amy2018-2021-release-1-135700,9,0.39710984,1.2888341
resstock-amy2018-2021-release-1-135700,8,0.30242354,0.98148954
resstock-amy2018-2021-release-1-135700,11,0.61376625,2.4196885
resstock-amy2018-2021-release-1-135700,6,0.64584106,1.860192
resstock-amy2018-2021-release-1-135700,5,0.65341115,2.3834813
resstock-amy2018-2021-release-1-135700,4,0.6129213,2.4705873
resstock-amy2018-2021-release-1-135700,3,0.5678802,2.3012903
resstock-amy2018-2021-release-1-135700,2,0.4841584,2.0386727
resstock-amy2018-2021-release-1-135700,1,0.3184565,1.3791515
resstock-amy2018-2021-release-1-135700,7,0.2962947,0.9099968
resstock-amy2018-2021-release-1-136749,10,0.38642734,1.2790022
resstock-amy2018-2021-release-1-136749,11,0.603836,2.268801
resstock-amy2018-2021-release-1-136749,12,0.70155144,2.7209566
resstock-amy2018-2021-release-1-136749,1,0.43012428,1.6321216
resstock-amy2018-2021-release-1-136749,3,0.87744576,3.2700531
resstock-amy2018-2021-release-1-136749,4,0.54866487,2.0831666
resstock-amy2018-2021-release-1-136749,2,0.6601689,2.4194515
resstock-amy2018-2021-release-1-136749,6,0.64258975,2.10138
resstock-amy2018-2021-release-1-136749,7,0.36456653,1.2324238
resstock-amy2018-2021-release-1-136749,8,0.30974576,0.9515538
resstock-amy2018-2021-release-1-136749,9,0.32297385,0.97696126
resstock-amy2018-2021-release-1-136749,5,0.70060295,2.3204336
resstock-amy2018-2021-release-1-139908,9,0.38364276,0.98217064
resstock-amy2018-2021-release-1-139908,12,0.6415574,2.452969
resstock-amy2018-2021-release-1-139908,11,1.0279828,4.2870383
resstock-amy2018-2021-release-1-139908,10,0.28476465,0.8363216
resstock-amy2018-2021-release-1-139908,8,0.3568992,1.011447
resstock-amy2018-2021-release-1-139908,4,1.1415619,5.0430403
resstock-amy2018-2021-release-1-139908,6,0.5308545,1.6110574
resstock-amy2018-2021-release-1-139908,5,0.62291205,2.7801213
resstock-amy2018-2021-release-1-139908,3,0.71601224,2.907925
resstock-amy2018-2021-release-1-139908,2,0.6817668,2.5992992
resstock-amy2018-2021-release-1-139908,1,0.46722952,1.8891339
