month,day,hour,kg_CO2/kWh
1,1,0,0.5614617815
1,1,1,0.559694056
1,1,2,0.5546493625
1,1,3,0.5493412424999999
1,1,4,0.54934574
1,1,5,0.54575029975
1,1,6,0.5427635655
1,1,7,0.54575672475
1,1,8,0.5389214295
1,1,9,0.54331679375
1,1,10,0.563179798
1,1,11,0.57001033825
1,1,12,0.5619061085
1,1,13,0.5565702305
1,1,14,0.5472185885
1,1,15,0.54535493775
1,1,16,0.5510008107500001
1,1,17,0.5632671505
1,1,18,0.5617683555
1,1,19,0.535246363
1,1,20,0.52584954975
1,1,21,0.5176580755
1,1,22,0.51005563325
1,1,23,0.49226019675000005
1,2,0,0.49770539825000004
1,2,1,0.49485586075
1,2,2,0.4982210105
1,2,3,0.49558568925
1,2,4,0.4939963775
1,2,5,0.50002513275
1,2,6,0.50360664275
1,2,7,0.5135300564999999
1,2,8,0.5229233835
1,2,9,0.5379186675000001
1,2,10,0.55250651825
1,2,11,0.56008409075
1,2,12,0.56694244425
1,2,13,0.56744618
1,2,14,0.5669254844999999
1,2,15,0.5709168827500001
1,2,16,0.57651762725
1,2,17,0.585071856
1,2,18,0.58184824175
1,2,19,0.5715132985
1,2,20,0.5620916615
1,2,21,0.5541680832500001
1,2,22,0.5405254767500001
1,2,23,0.52427355475
1,3,0,0.5003545057500001
1,3,1,0.500155383
1,3,2,0.49668256149999995
1,3,3,0.49288564
1,3,4,0.5000415265
1,3,5,0.514565343
1,3,6,0.526098894
1,3,7,0.5375590175
1,3,8,0.53824726075
1,3,9,0.54230613075
1,3,10,0.546462838
1,3,11,0.54441766925
1,3,12,0.5362069777499999
1,3,13,0.52636746875
1,3,14,0.51996559575
1,3,15,0.514264644
1,3,16,0.51458162725
1,3,17,0.5249600407499999
1,3,18,0.5354450265
1,3,19,0.5323459575
1,3,20,0.526117368
1,3,21,0.525593786
1,3,22,0.5264899995000001
1,3,23,0.5284443365
1,4,0,0.51828996875
1,4,1,0.51946095125
1,4,2,0.5169965575000001
1,4,3,0.517967795
1,4,4,0.51889907025
1,4,5,0.520085777
1,4,6,0.528798233
1,4,7,0.53843838525
1,4,8,0.5453005045
1,4,9,0.55168508825
1,4,10,0.5612050667499999
1,4,11,0.5638996345
1,4,12,0.5579254497499999
1,4,13,0.54915842425
1,4,14,0.5399783615
1,4,15,0.53960113975
1,4,16,0.53679333725
1,4,17,0.55008864525
1,4,18,0.556358821
1,4,19,0.54621961725
1,4,20,0.5325090357500001
1,4,21,0.51946696625
1,4,22,0.50575100175
1,4,23,0.48488953825000003
1,5,0,0.46711989775
1,5,1,0.4566817515
1,5,2,0.4609298275
1,5,3,0.4595171975
1,5,4,0.47039167125000003
1,5,5,0.482495137
1,5,6,0.497188893
1,5,7,0.512463404
1,5,8,0.52360554075
1,5,9,0.52427899
1,5,10,0.51954791625
1,5,11,0.5107831625
1,5,12,0.5097122985
1,5,13,0.505292237
1,5,14,0.49588714725000005
1,5,15,0.48802533224999994
1,5,16,0.48955736499999997
1,5,17,0.500176936
1,5,18,0.50914591825
1,5,19,0.5076198545
1,5,20,0.49957875549999997
1,5,21,0.49221291175000004
1,5,22,0.48746095074999996
1,5,23,0.48272775724999994
1,6,0,0.47910645199999996
1,6,1,0.46098851074999997
1,6,2,0.46283627725
1,6,3,0.4724780465
1,6,4,0.48805135025
1,6,5,0.49996060625
1,6,6,0.5141547190000001
1,6,7,0.52875589025
1,6,8,0.5291221525
1,6,9,0.5313533530000001
1,6,10,0.5348431547500001
1,6,11,0.5343691799999999
1,6,12,0.533431728
1,6,13,0.5304163337500001
1,6,14,0.53008382025
1,6,15,0.53035191525
1,6,16,0.5374761175
1,6,17,0.54589151025
1,6,18,0.5532060925
1,6,19,0.5518447237499999
1,6,20,0.5471181152500001
1,6,21,0.5386165145
1,6,22,0.5349192067499999
1,6,23,0.5303287835
1,7,0,0.53114730275
1,7,1,0.526504971
1,7,2,0.52273904775
1,7,3,0.5167476910000001
1,7,4,0.50733950975
1,7,5,0.5051954685
1,7,6,0.51038243275
1,7,7,0.51024739975
1,7,8,0.5055016704999999
1,7,9,0.50819548225
1,7,10,0.50833012525
1,7,11,0.5011170885
1,7,12,0.4930057205
1,7,13,0.48844069275
1,7,14,0.48616403500000005
1,7,15,0.48433990575
1,7,16,0.488590445
1,7,17,0.5050590585
1,7,18,0.5229772505
1,7,19,0.52821290125
1,7,20,0.5279359397500001
1,7,21,0.530508601
1,7,22,0.531856746
1,7,23,0.5245001687499999
1,8,0,0.51614253725
1,8,1,0.5105247565
1,8,2,0.5086423794999999
1,8,3,0.5114076245
1,8,4,0.5161827595
1,8,5,0.52370410025
1,8,6,0.5320017855
1,8,7,0.532738817
1,8,8,0.5374390232499999
1,8,9,0.5417325215
1,8,10,0.5429227369999999
1,8,11,0.5412858360000001
1,8,12,0.5417562495
1,8,13,0.5360081525
1,8,14,0.532178911
1,8,15,0.52774444175
1,8,16,0.53021282575
1,8,17,0.5397965035
1,8,18,0.5464399095
1,8,19,0.54161116175
1,8,20,0.5379663895
1,8,21,0.5329764164999999
1,8,22,0.52908784525
1,8,23,0.5262077065
1,9,0,0.51925502375
1,9,1,0.5252974545
1,9,2,0.518367984
1,9,3,0.5099953002500001
1,9,4,0.5057881817500001
1,9,5,0.4995797445
1,9,6,0.50469417175
1,9,7,0.5141626545
1,9,8,0.51932781075
1,9,9,0.5199826895
1,9,10,0.52012128025
1,9,11,0.5195398772500001
1,9,12,0.50988304575
1,9,13,0.503483605
1,9,14,0.49971714175
1,9,15,0.49686997424999996
1,9,16,0.49823570575
1,9,17,0.50561200925
1,9,18,0.51677962425
1,9,19,0.5169595764999999
1,9,20,0.5108918522500001
1,9,21,0.50259762175
1,9,22,0.4905337415
1,9,23,0.48025881424999994
1,10,0,0.47480186199999996
1,10,1,0.46933509375000004
1,10,2,0.471488653
1,10,3,0.46948935475
1,10,4,0.47569618350000004
1,10,5,0.48476762275
1,10,6,0.4904939135
1,10,7,0.50451621725
1,10,8,0.505799711
1,10,9,0.51967316475
1,10,10,0.5382430735
1,10,11,0.54107849475
1,10,12,0.52857683525
1,10,13,0.5261614125
1,10,14,0.52555753075
1,10,15,0.52197945775
1,10,16,0.5266094825000001
1,10,17,0.5441151237499999
1,10,18,0.5562459822500001
1,10,19,0.5444482785
1,10,20,0.5302769205
1,10,21,0.5165598155
1,10,22,0.50093454775
1,10,23,0.485236391
1,11,0,0.4693356725
1,11,1,0.47498013525
1,11,2,0.47614728025
1,11,3,0.48575871949999994
1,11,4,0.49122151025
1,11,5,0.4988749885
1,11,6,0.50983547125
1,11,7,0.51863173275
1,11,8,0.52008960125
1,11,9,0.5251871772500001
1,11,10,0.533785271
1,11,11,0.5352889725000001
1,11,12,0.53442625775
1,11,13,0.5328115515
1,11,14,0.52881431775
1,11,15,0.5241808207499999
1,11,16,0.5219971345000001
1,11,17,0.535573895
1,11,18,0.53629969525
1,11,19,0.5230154850000001
1,11,20,0.51785872425
1,11,21,0.50073415125
1,11,22,0.4760063815
1,11,23,0.456716045
1,12,0,0.44313552025
1,12,1,0.44151051025000004
1,12,2,0.44229615599999994
1,12,3,0.43762254075000007
1,12,4,0.43877044374999996
1,12,5,0.4632957325
1,12,6,0.48684111674999997
1,12,7,0.5117093482499999
1,12,8,0.51948260125
1,12,9,0.5238215239999999
1,12,10,0.5265330065
1,12,11,0.5266037407499999
1,12,12,0.5292606995
1,12,13,0.52876372225
1,12,14,0.52599969575
1,12,15,0.521363399
1,12,16,0.51950930075
1,12,17,0.5260993905
1,12,18,0.533595445
1,12,19,0.52974224625
1,12,20,0.52376886875
1,12,21,0.5180337095
1,12,22,0.5075813552499999
1,12,23,0.49721692674999995
1,13,0,0.48985193075
1,13,1,0.46306508675
1,13,2,0.459552002
1,13,3,0.4645220607500001
1,13,4,0.47327723974999997
1,13,5,0.492842343
1,13,6,0.5104908635000001
1,13,7,0.521889422
1,13,8,0.522791682
1,13,9,0.5337373275
1,13,10,0.5434608962499999
1,13,11,0.543393632
1,13,12,0.54553159575
1,13,13,0.5469010125
1,13,14,0.54237198925
1,13,15,0.541927226
1,13,16,0.54431411475
1,13,17,0.55530230475
1,13,18,0.5623696464999999
1,13,19,0.5611458970000001
1,13,20,0.5579282415
1,13,21,0.553949163
1,13,22,0.5494728280000001
1,13,23,0.538756288
1,14,0,0.525371689
1,14,1,0.5219812555
1,14,2,0.5198703954999999
1,14,3,0.520841047
1,14,4,0.5235427997500001
1,14,5,0.5316318035
1,14,6,0.5391779262499999
1,14,7,0.5423575185
1,14,8,0.5465717115
1,14,9,0.54847857925
1,14,10,0.5427857255
1,14,11,0.5284319815
1,14,12,0.51515082375
1,14,13,0.51106138675
1,14,14,0.5095339425000001
1,14,15,0.5095915787499999
1,14,16,0.51103564175
1,14,17,0.52022742375
1,14,18,0.5266739017500001
1,14,19,0.52437275975
1,14,20,0.52538971
1,14,21,0.523235824
1,14,22,0.51785405625
1,14,23,0.51524083875
1,15,0,0.5182967355000001
1,15,1,0.51625332625
1,15,2,0.516573289
1,15,3,0.5202877202499999
1,15,4,0.5315096914999999
1,15,5,0.5430951374999999
1,15,6,0.5570685147500001
1,15,7,0.56165507175
1,15,8,0.56332955825
1,15,9,0.57132516575
1,15,10,0.57222293175
1,15,11,0.5622108455
1,15,12,0.5597639999999999
1,15,13,0.55592402375
1,15,14,0.550028118
1,15,15,0.54936682725
1,15,16,0.55039485575
1,15,17,0.55935024825
1,15,18,0.57018224175
1,15,19,0.564535891
1,15,20,0.55164762
1,15,21,0.5394018505
1,15,22,0.52504564
1,15,23,0.512405499
1,16,0,0.50030679
1,16,1,0.49414624649999994
1,16,2,0.5004055
1,16,3,0.51443341925
1,16,4,0.52556637525
1,16,5,0.533583331
1,16,6,0.54097843525
1,16,7,0.5435010075
1,16,8,0.5403466025
1,16,9,0.5414485355
1,16,10,0.5377964355
1,16,11,0.5248362289999999
1,16,12,0.51056992375
1,16,13,0.502009139
1,16,14,0.5014485395
1,16,15,0.5090038032499999
1,16,16,0.5175797535
1,16,17,0.53337737825
1,16,18,0.54519529675
1,16,19,0.5426345625
1,16,20,0.539279847
1,16,21,0.53091399225
1,16,22,0.51889009325
1,16,23,0.49573166425
1,17,0,0.48263630324999995
1,17,1,0.47058073675000006
1,17,2,0.470797848
1,17,3,0.47055763700000003
1,17,4,0.47139213674999997
1,17,5,0.48415283075
1,17,6,0.49928012224999996
1,17,7,0.507061979
1,17,8,0.51460066975
1,17,9,0.53128223975
1,17,10,0.53563229525
1,17,11,0.5252489045000001
1,17,12,0.50991082525
1,17,13,0.50938670725
1,17,14,0.51248530925
1,17,15,0.51335876075
1,17,16,0.51702283225
1,17,17,0.5364488455
1,17,18,0.5594135
1,17,19,0.5608508135
1,17,20,0.55103109275
1,17,21,0.54266673275
1,17,22,0.5384038037500001
1,17,23,0.53886964975
1,18,0,0.53116893425
1,18,1,0.54635640725
1,18,2,0.54566738625
1,18,3,0.539562985
1,18,4,0.537068009
1,18,5,0.5462633882500001
1,18,6,0.5500420965
1,18,7,0.55170506875
1,18,8,0.550284837
1,18,9,0.55712413575
1,18,10,0.56819569875
1,18,11,0.56876680775
1,18,12,0.567702445
1,18,13,0.5655377585
1,18,14,0.557972397
1,18,15,0.5513524685
1,18,16,0.54979522075
1,18,17,0.55479526175
1,18,18,0.55154277825
1,18,19,0.532861225
1,18,20,0.5157514715
1,18,21,0.49893427975000004
1,18,22,0.48541415825
1,18,23,0.47826956000000004
1,19,0,0.47831900400000005
1,19,1,0.46838679325
1,19,2,0.4663064765
1,19,3,0.47111607999999994
1,19,4,0.47881702725
1,19,5,0.49242641025
1,19,6,0.5119731135
1,19,7,0.5236282415000001
1,19,8,0.5193009040000001
1,19,9,0.5284601435
