4,5,9,16,21,26,33,36,49,59
[3052.9368],[3052.9368],[3052.9368],[3052.9368],[3052.9368],[3052.9368],[3052.9368],[3052.9368],[3052.9368],[3052.9368]
[24.16913],[24.16913],[24.16913],[24.16913],[24.16913],[24.16913],[24.16913],[24.16913],[24.16913],[24.16913]
[25342.564],[25342.564],[25342.564],[25342.564],[25342.564],[25342.564],[25342.564],[25342.564],[25342.564],[25342.564]
[13931.926],[13931.926],[13931.926],[13931.926],[13931.926],[13931.926],[13931.926],[13931.926],[13931.926],[13931.926]
[2862.9443],[2862.9443],[2862.9443],[2862.9443],[2862.9443],[2862.9443],[2862.9443],[2862.9443],[2862.9443],[2862.9443]
[2881.2283],[2881.2283],[2881.2283],[2881.2283],[2881.2283],[2881.2283],[2881.2283],[2881.2283],[2881.2283],[2881.2283]
[1768.7544],[1768.7544],[1768.7544],[1768.7544],[1768.7544],[1768.7544],[1768.7544],[1768.7544],[1768.7544],[1768.7544]
[608.53436],[608.53436],[608.53436],[608.53436],[608.53436],[608.53436],[608.53436],[608.53436],[608.53436],[608.53436]
[3070.0847],[3070.0847],[3070.0847],[3070.0847],[3070.0847],[3070.0847],[3070.0847],[3070.0847],[3070.0847],[3070.0847]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[317.6476],[317.6476],[317.6476],[317.6476],[317.6476],[317.6476],[317.6476],[317.6476],[317.6476],[317.6476]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[5283.667],[5283.667],[5283.667],[5283.667],[5283.667],[5283.667],[5283.667],[5283.667],[5283.667],[5283.667]
[22.664955],[22.664955],[22.664955],[22.664955],[22.664955],[22.664955],[22.664955],[22.664955],[22.664955],[22.664955]
[22.809734],[22.809734],[22.809734],[22.809734],[22.809734],[22.809734],[22.809734],[22.809734],[22.809734],[22.809734]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1225.4434],[1225.4434],[1225.4434],[1225.4434],[1225.4434],[1225.4434],[1225.4434],[1225.4434],[1225.4434],[1225.4434]
[24.304861],[24.304861],[24.304861],[24.304861],[24.304861],[24.304861],[24.304861],[24.304861],[24.304861],[24.304861]
[1572.1779],[1572.1779],[1572.1779],[1572.1779],[1572.1779],[1572.1779],[1572.1779],[1572.1779],[1572.1779],[1572.1779]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[14844.024],[14844.024],[14844.024],[14844.024],[14844.024],[14844.024],[14844.024],[14844.024],[14844.024],[14844.024]
22.664975054653823,22.664975054653823,22.664975054653823,22.664975054653823,22.664975054653823,22.664975054653823,22.664975054653823,22.664975054653823,22.664975054653823,22.664975054653823
22.809721622833067,22.809721622833067,22.809721622833067,22.809721622833067,22.809721622833067,22.809721622833067,22.809721622833067,22.809721622833067,22.809721622833067,22.809721622833067
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[241.3065],[241.3065],[241.3065],[241.3065],[241.3065],[241.3065],[241.3065],[241.3065],[241.3065],[241.3065]
24.304836796013873,24.304836796013873,24.304836796013873,24.304836796013873,24.304836796013873,24.304836796013873,24.304836796013873,24.304836796013873,24.304836796013873,24.304836796013873
[12.446398],[12.446398],[12.446398],[12.446398],[12.446398],[12.446398],[12.446398],[12.446398],[12.446398],[12.446398]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[23330.328],[23330.328],[23330.328],[23330.328],[23330.328],[23330.328],[23330.328],[23330.328],[23330.328],[23330.328]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.664975054653823,22.664975054653823,22.664975054653823,22.664975054653823,22.664975054653823,22.664975054653823,22.664975054653823,22.664975054653823,22.664975054653823,22.664975054653823
22.809721622833067,22.809721622833067,22.809721622833067,22.809721622833067,22.809721622833067,22.809721622833067,22.809721622833067,22.809721622833067,22.809721622833067,22.809721622833067
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.304836796013873,24.304836796013873,24.304836796013873,24.304836796013873,24.304836796013873,24.304836796013873,24.304836796013873,24.304836796013873,24.304836796013873,24.304836796013873
12.446406769402003,12.446406769402003,12.446406769402003,12.446406769402003,12.446406769402003,12.446406769402003,12.446406769402003,12.446406769402003,12.446406769402003,12.446406769402003
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200.62863301354014,200.62863301354014,200.62863301354014,200.62863301354014,200.62863301354014,200.62863301354014,200.62863301354014,200.62863301354014,200.62863301354014,200.62863301354014
[7120.1724],[7120.1724],[7120.1724],[7120.1724],[7120.1724],[7120.1724],[7120.1724],[7120.1724],[7120.1724],[7120.1724]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1997.3784],[1997.3784],[1997.3784],[1997.3784],[1997.3784],[1997.3784],[1997.3784],[1997.3784],[1997.3784],[1997.3784]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200.62863301354014,200.62863301354014,200.62863301354014,200.62863301354014,200.62863301354014,200.62863301354014,200.62863301354014,200.62863301354014,200.62863301354014,200.62863301354014
[19961.857],[19961.857],[19961.857],[19961.857],[19961.857],[19961.857],[19961.857],[19961.857],[19961.857],[19961.857]
[2862.9443],[2862.9443],[2862.9443],[2862.9443],[2862.9443],[2862.9443],[2862.9443],[2862.9443],[2862.9443],[2862.9443]
[1038.6447],[1038.6447],[1038.6447],[1038.6447],[1038.6447],[1038.6447],[1038.6447],[1038.6447],[1038.6447],[1038.6447]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[2923.017],[2923.017],[2923.017],[2923.017],[2923.017],[2923.017],[2923.017],[2923.017],[2923.017],[2923.017]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[2307.0493],[2307.0493],[2307.0493],[2307.0493],[2307.0493],[2307.0493],[2307.0493],[2307.0493],[2307.0493],[2307.0493]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.809721622833067,22.809721622833067,22.809721622833067,22.809721622833067,22.809721622833067,22.809721622833067,22.809721622833067,22.809721622833067,22.809721622833067,22.809721622833067
[1591.0988],[1591.0988],[1591.0988],[1591.0988],[1591.0988],[1591.0988],[1591.0988],[1591.0988],[1591.0988],[1591.0988]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[54.105312],[54.105312],[54.105312],[54.105312],[54.105312],[54.105312],[54.105312],[54.105312],[54.105312],[54.105312]
[967.16205],[967.16205],[967.16205],[967.16205],[967.16205],[967.16205],[967.16205],[967.16205],[967.16205],[967.16205]
[18.264261],[18.264261],[18.264261],[18.264261],[18.264261],[18.264261],[18.264261],[18.264261],[18.264261],[18.264261]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[12207.02],[12207.02],[12207.02],[12207.02],[12207.02],[12207.02],[12207.02],[12207.02],[12207.02],[12207.02]
[2482.6123],[2482.6123],[2482.6123],[2482.6123],[2482.6123],[2482.6123],[2482.6123],[2482.6123],[2482.6123],[2482.6123]
[2862.9443],[2862.9443],[2862.9443],[2862.9443],[2862.9443],[2862.9443],[2862.9443],[2862.9443],[2862.9443],[2862.9443]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.446406769402003,12.446406769402003,12.446406769402003,12.446406769402003,12.446406769402003,12.446406769402003,12.446406769402003,12.446406769402003,12.446406769402003,12.446406769402003
18.26413995379989,18.26413995379989,18.26413995379989,18.26413995379989,18.26413995379989,18.26413995379989,18.26413995379989,18.26413995379989,18.26413995379989,18.26413995379989
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200.62863301354014,200.62863301354014,200.62863301354014,200.62863301354014,200.62863301354014,200.62863301354014,200.62863301354014,200.62863301354014,200.62863301354014,200.62863301354014
267.56807699090115,267.56807699090115,267.56807699090115,267.56807699090115,267.56807699090115,267.56807699090115,267.56807699090115,267.56807699090115,267.56807699090115,267.56807699090115
[22.664955],[22.664955],[22.664955],[22.664955],[22.664955],[22.664955],[22.664955],[22.664955],[22.664955],[22.664955]
[688.58185],[688.58185],[688.58185],[688.58185],[688.58185],[688.58185],[688.58185],[688.58185],[688.58185],[688.58185]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[3240.1816],[3240.1816],[3240.1816],[3240.1816],[3240.1816],[3240.1816],[3240.1816],[3240.1816],[3240.1816],[3240.1816]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.26413995379989,18.26413995379989,18.26413995379989,18.26413995379989,18.26413995379989,18.26413995379989,18.26413995379989,18.26413995379989,18.26413995379989,18.26413995379989
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267.56807699090115,267.56807699090115,267.56807699090115,267.56807699090115,267.56807699090115,267.56807699090115,267.56807699090115,267.56807699090115,267.56807699090115,267.56807699090115
22.664975054653823,22.664975054653823,22.664975054653823,22.664975054653823,22.664975054653823,22.664975054653823,22.664975054653823,22.664975054653823,22.664975054653823,22.664975054653823
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1970.3325],[1970.3325],[1970.3325],[1970.3325],[1970.3325],[1970.3325],[1970.3325],[1970.3325],[1970.3325],[1970.3325]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[123.53637],[123.53637],[123.53637],[123.53637],[123.53637],[123.53637],[123.53637],[123.53637],[123.53637],[123.53637]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[9679.622],[9679.622],[9679.622],[9679.622],[9679.622],[9679.622],[9679.622],[9679.622],[9679.622],[9679.622]
267.56807699090115,267.56807699090115,267.56807699090115,267.56807699090115,267.56807699090115,267.56807699090115,267.56807699090115,267.56807699090115,267.56807699090115,267.56807699090115
22.664975054653823,22.664975054653823,22.664975054653823,22.664975054653823,22.664975054653823,22.664975054653823,22.664975054653823,22.664975054653823,22.664975054653823,22.664975054653823
[1652.9016],[1652.9016],[1652.9016],[1652.9016],[1652.9016],[1652.9016],[1652.9016],[1652.9016],[1652.9016],[1652.9016]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.446406769402003,12.446406769402003,12.446406769402003,12.446406769402003,12.446406769402003,12.446406769402003,12.446406769402003,12.446406769402003,12.446406769402003,12.446406769402003
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
