Hours since 00:00 Jan 1,Hourly Data: AC inverter power (W)
0.5,0
1.5,0
2.5,0
3.5,0
4.5,0
5.5,0
6.5,0
7.5,0
8.5,159.115
9.5,360.323
10.5,512.978
11.5,611.885
12.5,645.846
13.5,623.48
14.5,546.483
15.5,411.596
16.5,223.462
17.5,0
18.5,0
19.5,0
20.5,0
21.5,0
22.5,0
23.5,0
24.5,0
25.5,0
26.5,0
27.5,0
28.5,0
29.5,0
30.5,0
31.5,0
32.5,180.377
33.5,394.4
34.5,560.914
35.5,655.268
36.5,700.795
37.5,682.043
38.5,596.165
39.5,456.289
40.5,259.388
41.5,0
42.5,0
43.5,0
44.5,0
45.5,0
46.5,0
47.5,0
48.5,0
49.5,0
50.5,0
51.5,0
52.5,0
53.5,0
54.5,0
55.5,0
56.5,125.425
57.5,327.485
58.5,452.422
59.5,319.096
60.5,436.965
61.5,366.383
62.5,500.247
63.5,324.632
64.5,143.058
65.5,0
66.5,0
67.5,0
68.5,0
69.5,0
70.5,0
71.5,0
72.5,0
73.5,0
74.5,0
75.5,0
76.5,0
77.5,0
78.5,0
79.5,0
80.5,152.362
81.5,350.369
82.5,509.321
83.5,603.506
84.5,642.502
85.5,624.328
86.5,557.482
87.5,435.688
88.5,253.553
89.5,0.900263
90.5,0
91.5,0
92.5,0
93.5,0
94.5,0
95.5,0
96.5,0
97.5,0
98.5,0
99.5,0
100.5,0
101.5,0
102.5,0
103.5,0
104.5,107.384
105.5,188.459
106.5,275.378
107.5,491.989
108.5,385.754
109.5,395.24
110.5,396.733
111.5,341.96
112.5,251.734
113.5,3.51016
114.5,0
115.5,0
116.5,0
117.5,0
118.5,0
119.5,0
120.5,0
121.5,0
122.5,0
123.5,0
124.5,0
125.5,0
126.5,0
127.5,0
128.5,20.025
129.5,136.089
130.5,282.08
131.5,391.998
132.5,490.954
133.5,454.451
134.5,286.071
135.5,349.531
136.5,175.458
137.5,0
138.5,0
139.5,0
140.5,0
141.5,0
142.5,0
143.5,0
144.5,0
145.5,0
146.5,0
147.5,0
148.5,0
149.5,0
150.5,0
151.5,0
152.5,125.575
153.5,326.754
154.5,431.863
155.5,426.483
156.5,521.149
157.5,469.025
158.5,533.305
159.5,331.564
160.5,125.272
161.5,0
162.5,0
163.5,0
164.5,0
165.5,0
166.5,0
167.5,0
168.5,0
169.5,0
170.5,0
171.5,0
172.5,0
173.5,0
174.5,0
175.5,0
176.5,148.134
177.5,347.53
178.5,491.361
179.5,562.093
180.5,616.958
181.5,609.938
182.5,537.666
183.5,398.537
184.5,248.529
185.5,2.73353
186.5,0
187.5,0
188.5,0
189.5,0
190.5,0
191.5,0
192.5,0
193.5,0
194.5,0
195.5,0
196.5,0
197.5,0
198.5,0
199.5,0
200.5,117.355
201.5,299.042
202.5,467.654
203.5,558.227
204.5,574.844
205.5,584.197
206.5,486.789
207.5,322.763
208.5,182.295
209.5,2.85142
210.5,0
211.5,0
212.5,0
213.5,0
214.5,0
215.5,0
216.5,0
217.5,0
218.5,0
219.5,0
220.5,0
221.5,0
222.5,0
223.5,0
224.5,194.565
225.5,428.62
226.5,386.208
227.5,242.172
228.5,111.841
229.5,308.035
230.5,455.247
231.5,436.662
232.5,111.942
233.5,0.160809
234.5,0
235.5,0
236.5,0
237.5,0
238.5,0
239.5,0
240.5,0
241.5,0
242.5,0
243.5,0
244.5,0
