Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh]
1,1,7,0,21.100000000098493,2.7999999999015053,27.07127889650983,0.36575990337151254,0.3555364075562749,9.094947017729283e-16
1,2,7,0,21.10000000000992,2.799999999990078,28.833609756782728,0.3332479119607114,0.1804631764975478,0.0
1,3,7,0,21.100000000001092,2.7999999999989065,28.934965711506184,0.3169919162553109,0.08493690563860769,9.094947017729283e-16
1,4,7,0,21.10000000000011,2.799999999999887,29.32749396908208,0.30886391840261057,0.05909309116597274,0.0
1,5,7,0,21.100000000000005,2.7999999999999936,28.93338501326198,0.30886391840261057,0.06573976276717027,9.094947017729283e-16
1,6,7,0,21.100000000000005,2.7999999999999936,28.01794856201282,0.34950390766611195,0.13848162611405682,0.0
1,7,7,0,21.099999999999998,2.8000000000000007,27.481198469542285,0.4389118840458151,0.46878937694259726,1.8189894035458565e-15
1,8,7,0,21.1,2.799999999999997,27.29099189964188,0.5283198604255182,1.084758954384552,2.7284841053187848e-15
1,9,7,0,21.100000000000005,2.7999999999999936,27.27737100983213,0.5364478582782184,1.2441379200334561,9.094947017729283e-16
1,10,7,0,21.099999999999998,2.8000000000000007,27.52412048487576,0.5445758561309187,1.178521831463847,4.547473508864641e-16
1,11,7,0,21.1,2.799999999999997,28.588961806064116,0.5608318518363192,1.0401187041683266,2.2737367544323206e-16
1,12,7,0,21.1,2.799999999999997,28.925709993984565,0.5689598496890195,0.887301535382314,2.842170943040401e-17
1,13,7,0,21.51713298133002,2.3828670186699803,27.6216229090944,0.5608318518363192,0.7525717339139569,0.0
1,14,7,0,22.381598022569158,1.518401977430841,26.232338445240785,0.5364478582782184,0.641038084312303,0.0
1,15,7,0,22.71868941521757,1.1813105847824303,25.648217477915928,0.5283198604255182,0.5853153838016023,0.0
1,16,7,0,22.594145120281244,1.3058548797187548,25.80943844072611,0.552703853983619,0.5172700860084907,0.0
1,17,7,0,22.15897803929724,1.74102196070276,24.80840811689896,0.6502398282160223,0.5272283788531522,0.0
1,18,7,0,21.325849756303057,2.5741502436969412,26.123019388578726,0.8127997852700278,0.5859577263044256,0.0
1,19,7,0,21.10081455978558,2.799185440214419,26.430103646465042,0.8127997852700278,0.7559923327638317,0.0
1,20,7,0,21.100030001842523,2.7999699981574757,26.96007566044446,0.755903800301126,0.8816108704224939,0.0
1,21,7,0,21.10000141859314,2.7999985814068573,26.733542514597975,0.7233918088903248,0.8747506176066835,4.547473508864641e-16
1,22,7,0,21.100000098645616,2.799999901354383,25.84040324419351,0.6908798174795237,0.7741453276565673,0.0
1,23,7,0,21.100000008518993,2.7999999914810054,25.56357955497117,0.5770878475417197,0.6914637658277674,4.547473508864641e-16
1,24,7,0,21.100000000793205,2.7999999992067934,24.92430981107794,0.4714238754566161,0.5169635547544983,9.094947017729283e-16
1,1,1,0,21.1000000000796,2.7999999999203986,24.53890059175997,0.36575990337151254,0.3568011608197167,9.094947017729283e-16
1,2,1,0,21.100000000008166,2.799999999991833,24.408736822773996,0.3332479119607114,0.1811051399830179,0.0
1,3,1,0,21.10000000000085,2.799999999999148,23.90221007070607,0.3169919162553109,0.0852390525532695,9.094947017729283e-16
1,4,1,0,21.1000000000001,2.7999999999998977,24.093766535517354,0.30886391840261057,0.05930330361766715,1.8189894035458565e-15
1,5,1,0,21.100000000000012,2.7999999999999865,23.895524790433985,0.30886391840261057,0.06597361949106852,9.094947017729283e-16
1,6,1,0,21.100000000000005,2.7999999999999936,23.690704624437107,0.34950390766611195,0.13897424820516222,9.094947017729283e-16
1,7,1,0,21.100000000000005,2.7999999999999936,23.51362767635058,0.4389118840458151,0.47045700614105324,1.8189894035458565e-15
1,8,1,0,21.1,2.799999999999997,23.517661263605223,0.5283198604255182,1.0886177783993285,9.094947017729283e-16
1,9,1,0,21.1,2.799999999999997,23.73567807101576,0.5364478582782184,1.2485637044569118,9.094947017729283e-16
1,10,1,0,21.1,2.799999999999997,23.301289392314715,0.5445758561309187,1.18271419911088,0.0
1,11,1,0,21.099999999999998,2.8000000000000007,22.883013548115464,0.5608318518363192,1.0438187289688965,0.0
1,12,1,0,21.1,2.799999999999997,23.01062501058184,0.5689598496890195,0.8904579421206423,4.547473508864641e-16
1,13,1,0,21.1,2.799999999999997,23.510532851093092,0.5608318518363192,0.7552488649649901,2.2737367544323206e-16
1,14,1,0,21.1,2.799999999999997,24.52166456167527,0.5364478582782184,0.6433184555820051,0.0
1,15,1,0,21.385976332865976,2.5140236671340226,24.28919379834044,0.5283198604255182,0.5873975321444229,0.0
1,16,1,0,21.66308898064975,2.2369110193502486,23.734434343578357,0.552703853983619,0.5191101761243152,0.0
1,17,1,0,21.54108431331499,2.358915686685009,23.8682094575755,0.6502398282160223,0.5291038937049696,0.0
