Mes,Energia_kWh,Custo_EUR,Preco_medio
Jan,12647.896265268326,1169.9441028037108,0.09250108304702248
Fev,11159.099989295006,1035.0023912848847,0.09274962965452133
Mar,9668.7074842453,890.6541817465331,0.09211719179609186
Abr,6652.3825043439865,605.6620738248166,0.0910443849897869
Mai,4566.502508282661,411.74586584209464,0.09016656951250447
Jun,4006.929990887642,358.5590074744541,0.08948471979542216
Jul,4079.157504081726,367.3171308413148,0.09004730277606746
Ago,4436.903745889664,398.38648095342796,0.08978929987437573
Set,4989.446254372597,453.5457992180236,0.09090102911130671
Out,7166.588758230209,663.1487040121574,0.09253338322930672
Nov,8785.671250462532,811.6763390118722,0.09238637730374222
Dez,13180.313746452332,1214.1092188688926,0.09211535037970453
