Mes,Energia_kWh,Custo_EUR,Preco_medio
Jan,12220.297509431839,1128.6182608700765,0.0923560379768978
Fev,10642.302484869957,985.286736396607,0.09258210220930839
Mar,9190.157487630844,844.9598206608789,0.09194182164975101
Abr,6170.155000209808,559.9545216553379,0.09075209968571249
Mai,4213.247501671314,378.1063911371166,0.08974226911358259
Jun,3665.6524965167046,326.3127678533492,0.089019013167077
Jul,3820.4525076150894,342.6974594385829,0.08970075109048042
Ago,4150.464996814728,371.3244591759285,0.08946574888859471
Set,4692.0000067949295,425.0153033611423,0.09058297159966697
Out,6789.140009880066,626.6799409622326,0.0923062331974655
Nov,8455.717499732971,780.4586718648206,0.09229952063671323
Dez,12751.470000505447,1173.516721204709,0.09202991664162585
