Hour,Day Type,Daylight Savings Status,Outdoor Drybulb Temperature [C],Outdoor Relative Humidity [%],Diffuse Solar Radiation [W/m2],Direct Solar Radiation [W/m2],Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh]
1,1.0,0.0,17.8125,68.125,0.0,0.0,23.867451368390675,3.077299900440647e-06,47.724706868774746,7.794315217642483,1.3351867313049182,3.7314910282182945
2,1.0,0.0,16.1375,74.75,0.0,0.0,23.74866225516198,0.0,49.68012029802449,7.198257821900184,0.7109114317618855,1.0480441413182344
3,1.0,0.0,16.1,75.875,0.0,0.0,23.61124390293304,0.0,51.18729708039722,6.889069561207352,0.4809559201754074,0.6988270593514233
4,1.0,0.0,16.1,78.25,0.0,0.0,23.45403325194569,0.0,52.87703342059881,6.692355996816513,0.51879228819186,0.49090431693432923
5,1.0,0.0,16.1625,77.75,0.0,0.0,23.298802446466464,0.0,54.47313461550321,6.785887419237894,1.0396945907840858,0.3451331337907139
6,1.0,0.0,16.2625,76.375,0.0,0.0,23.186408629323154,0.0,55.475407072629395,7.423987574611205,3.0974516804698355,0.30798479718417604
7,1.0,0.0,16.3625,75.375,0.0,0.0,23.119532694650797,0.0,56.13884512715513,9.066921661472994,7.016600374813498,0.3152346532611468
8,1.0,0.0,17.025,73.75,41.0625,64.5,23.209933995712838,0.0,56.266167362410755,10.949979190344084,8.567181979532497,0.5261531203661082
9,1.0,0.0,19.025,66.125,103.875,337.125,23.569628103944325,0.0,55.109484555072015,11.741014049883574,8.863455733563026,3.036645219510121
10,1.0,0.0,21.375,57.0,151.3125,434.5625,23.770555330912295,0.0,53.490378963910906,12.454497414957867,8.313377273339439,8.0296551766032
11,1.0,0.0,23.5125,49.625,189.8125,492.6875,23.863922361125475,0.0,51.523732891065684,12.687478672504858,7.286330689676703,12.29886232252968
12,1.0,0.0,25.2375,43.875,222.5,460.8125,23.87961438604979,0.0,49.80366705788862,12.902946819716412,6.234256944759741,16.25753334981103
13,1.0,0.0,25.7375,42.625,177.625,598.1875,23.879308767103982,0.0,48.15685970756923,12.65665649132132,5.3916798377917035,20.139995107854944
14,1.0,0.0,25.7,42.375,129.375,694.625,23.878871897061934,0.0,46.502907991421125,12.118764013942258,4.826223235243908,23.765383525638534
15,1.0,0.0,25.7,42.625,116.9375,586.5625,23.879035592336425,0.0,45.21464340994849,11.732479713551907,4.321135571827099,26.217618244945204
16,1.0,0.0,25.7,43.625,68.0,565.75,23.87940730054521,0.0,44.53718200694575,12.107492710919825,4.255403070016111,27.970607083853587
17,1.0,0.0,25.7,43.375,34.375,326.1875,23.879472842600567,0.0,44.482022495753526,13.778196779200126,4.826381156298223,26.05079027383754
18,1.0,0.0,25.5125,44.25,0.0,0.0,23.879508533070737,0.0,45.15191695630396,16.555466290950594,5.831646252415996,22.7704085055123
19,1.0,0.0,24.9,46.875,0.0,0.0,23.879216910582326,0.0,46.16780162325066,16.29998221063618,6.919567971164962,22.941128945574267
20,1.0,0.0,24.1,48.0,0.0,0.0,23.87898949773501,0.0,46.7792179293258,14.95791996811918,7.189927776884568,20.917625117662155
21,1.0,0.0,23.3,49.25,0.0,0.0,23.878713843013696,0.0,46.76990260241426,14.20731335900552,6.592548689300958,18.486982474159376
22,1.0,0.0,22.500000000000004,50.625,0.0,0.0,23.87885587032465,0.0,46.802630050393496,13.554210953460414,5.795432663100379,16.027055067390172
23,1.0,0.0,21.6375,51.625,0.0,0.0,23.879076668615635,0.0,46.81659320489935,11.621593008693123,4.340773943244934,12.581515487478187
24,1.0,0.0,20.8,53.875,0.0,0.0,23.87930578829113,0.0,46.88859581798395,9.54829133482013,2.809831562384108,9.269261108554742
1,2.0,0.0,19.5,61.875,0.0,0.0,23.879552606967973,0.0,47.61874275500682,7.6833722121192025,1.191328961859363,5.719100462091178
2,2.0,0.0,17.775,69.75,0.0,0.0,23.857797043838218,2.2278745563357074e-05,49.30079323297005,7.131348481968132,0.6235185558779472,2.329804072860851
3,2.0,0.0,16.0375,77.0,0.0,0.0,23.64035848582499,0.0,51.31111349343945,6.845460529838587,0.4298268177496079,0.6879237005248563
4,2.0,0.0,14.8375,83.125,0.0,0.0,23.294943317507737,0.0,53.28437570061344,6.667810341535417,0.46776867719607823,0.2960069373157593
5,2.0,0.0,13.937500000000002,86.875,0.0,0.0,22.965209893744383,0.0,54.866778365089495,6.7393055031348785,0.9369021836074757,0.1178650074406533
6,2.0,0.0,13.1625,88.0,0.0,0.0,22.688232196551382,0.0,55.66837461896707,7.3503279909048995,2.8154234637588673,0.0074988413011315
7,2.0,0.0,12.4625,90.5,0.0,0.0,22.520291975510872,0.0,55.74106672055344,8.88398166109162,6.39327005602677,0.0
8,2.0,0.0,12.325,89.5,33.9375,15.5625,22.41979717817923,0.0,55.6546265664007,10.587420450438342,7.732236029751944,0.0
9,2.0,0.0,13.15,84.25,118.625,65.0625,22.41351603680601,0.0,55.033310076968604,11.181228337918652,7.910479984813488,0.0
10,2.0,0.0,13.9125,81.375,177.875,19.4375,22.390258446921088,0.0,54.338817237146216,11.696799700485526,7.371547519648418,0.015276124539925093
11,2.0,0.0,14.4125,81.0,220.5625,49.6875,22.398571466431953,0.0,53.9798841135786,11.849167580555271,6.430856360288362,0.13667549991483263
12,2.0,0.0,15.1625,75.375,266.6875,154.1875,22.5597143847633,0.0,53.30551199488175,12.053006293960806,5.513271751674181,0.4610101055220219
13,2.0,0.0,15.625,70.125,256.9375,42.625,22.61491197744514,0.0,52.66371685516876,11.884346025370625,4.765302779648045,0.4362812342219535
14,2.0,0.0,15.7,67.125,246.625,38.8125,22.64551707353969,0.0,51.40215017455878,11.41164143159925,4.279468495668583,0.4663898491944189
15,2.0,0.0,15.6375,62.875,196.6875,93.9375,22.747885504921705,0.0,49.436653466677875,11.100646529402862,3.824470558606212,0.5916212636899777
16,2.0,0.0,15.412500000000003,60.375,118.875,205.9375,22.882622761803283,0.0,47.297517096727034,11.509661854183388,3.7738306178472887,0.8277154310193178
17,2.0,0.0,14.9875,60.0,58.75,255.4375,23.023258557331268,0.0,45.51756221411007,13.194793824968892,4.279738584905669,1.2147762239348279
18,2.0,0.0,14.2375,61.25,0.0,0.0,22.82361631173558,0.0,45.552172077333275,15.976053967847042,5.187818845138314,0.3537918919335991
19,2.0,0.0,13.4,62.625,0.0,0.0,22.774303680454,0.0,45.59005632039973,15.717724003894267,6.146029900136251,0.34185267479827125
20,2.0,0.0,12.600000000000003,64.875,0.0,0.0,22.66425467614466,0.0,45.44075885301685,14.365106755047387,6.361400223812501,0.25729493850175916
