 dm	 m	 h	G_Dh	G_h	 Ta	 FF	 DD	 RH	RR	N
 1	 1	 1	0	0	17.4	2.5	128	95	13.2	8
 1	 1	 2	0	0	19.0	2.1	162	83	0.9	8
 1	 1	 3	0	0	18.7	1.8	204	89	1.1	8
 1	 1	 4	0	0	18.7	2.1	265	84	0.6	8
 1	 1	 5	0	0	18.6	2.1	218	89	0.3	8
 1	 1	 6	0	0	18.6	2.4	207	87	0.1	8
 1	 1	 7	0	0	18.5	1.9	186	95	0.4	8
 1	 1	 8	1	1	18.6	2.7	192	86	0.0	8
 1	 1	 9	21	21	19.1	2.4	169	86	0.0	8
 1	 1	 10	46	46	19.6	3.9	208	86	0.2	8
 1	 1	 11	70	70	20.2	3.4	95	83	0.5	8
 1	 1	 12	93	93	20.8	3.2	181	83	0.0	8
 1	 1	 13	95	95	21.2	3.6	145	71	0.0	8
 1	 1	 14	88	88	21.4	3.9	58	83	0.2	8
 1	 1	 15	74	74	21.5	3.4	100	83	0.1	8
 1	 1	 16	52	52	21.3	4.6	176	83	0.7	8
 1	 1	 17	25	25	20.9	3.6	36	86	1.6	8
 1	 1	 18	2	2	20.2	3.9	110	86	3.2	8
 1	 1	 19	0	0	19.1	3.2	97	90	6.3	8
 1	 1	 20	0	0	19.5	3.2	146	86	2.0	8
 1	 1	 21	0	0	18.6	3.4	159	86	4.3	8
 1	 1	 22	0	0	18.5	2.5	120	86	2.5	8
 1	 1	 23	0	0	18.3	1.9	175	86	1.3	8
 1	 1	 24	0	0	18.1	1.8	171	86	0.1	8
 2	 1	 1	0	0	16.7	1.9	247	86	0.0	8
 2	 1	 2	0	0	15.3	3.2	175	87	0.0	8
 2	 1	 3	0	0	13.8	4.3	145	87	0.0	8
 2	 1	 4	0	0	13.0	3.9	20	94	0.0	8
 2	 1	 5	0	0	12.3	4.6	97	93	0.0	8
 2	 1	 6	0	0	11.7	3.9	35	95	0.0	8
 2	 1	 7	0	0	11.1	4.3	97	94	0.0	8
 2	 1	 8	1	1	11.1	2.8	29	92	0.0	8
 2	 1	 9	48	48	11.9	3.2	174	88	0.0	8
 2	 1	 10	115	115	12.9	2.8	136	74	0.0	8
 2	 1	 11	174	176	14.0	3.2	102	70	0.0	8
 2	 1	 12	228	236	15.1	2.5	166	64	0.0	8
 2	 1	 13	234	242	15.8	3.4	176	61	0.0	8
 2	 1	 14	233	244	16.3	3.9	151	59	0.0	8
 2	 1	 15	199	207	16.4	2.8	105	60	0.0	8
 2	 1	 16	149	155	16.3	3.4	112	62	0.0	8
 2	 1	 17	74	74	15.6	3.0	156	62	0.0	8
 2	 1	 18	4	4	14.6	3.2	141	68	0.0	8
 2	 1	 19	0	0	13.6	2.2	152	70	0.0	8
 2	 1	 20	0	0	12.5	1.8	168	77	0.0	7
 2	 1	 21	0	0	11.5	1.5	243	84	0.0	7
 2	 1	 22	0	0	10.5	1.2	245	85	0.0	7
 2	 1	 23	0	0	9.4	0.9	267	86	0.0	7
 2	 1	 24	0	0	8.4	0.6	323	83	0.0	7
 3	 1	 1	0	0	7.8	0.4	299	87	0.0	7
 3	 1	 2	0	0	7.3	0.3	305	93	0.0	6
 3	 1	 3	0	0	6.8	0.7	302	93	0.0	6
 3	 1	 4	0	0	6.6	0.6	306	90	0.0	6
 3	 1	 5	0	0	6.4	0.4	309	86	0.0	6
 3	 1	 6	0	0	6.3	0.4	306	86	0.0	6
 3	 1	 7	0	0	6.2	0.5	308	78	0.0	6
 3	 1	 8	4	4	6.5	0.6	300	79	0.0	5
 3	 1	 9	88	156	10.6	0.8	306	65	0.0	5
 3	 1	 10	48	340	15.2	1.1	282	55	0.0	0
 3	 1	 11	53	498	19.5	1.9	283	36	0.0	0
 3	 1	 12	59	604	23.3	2.2	160	28	0.0	0
 3	 1	 13	63	647	26.2	2.8	180	24	0.0	0
 3	 1	 14	60	620	28.1	2.5	104	22	0.0	0
 3	 1	 15	55	531	27.6	1.9	190	21	0.0	0
 3	 1	 16	52	384	27.6	2.4	249	21	0.0	0
 3	 1	 17	105	197	26.9	3.9	187	24	0.0	5
 3	 1	 18	11	11	23.9	5.3	114	29	0.0	5
 3	 1	 19	0	0	22.4	4.8	30	39	0.0	5
 3	 1	 20	0	0	20.9	3.2	22	42	0.0	5
 3	 1	 21	0	0	19.3	2.8	104	48	0.0	5
 3	 1	 22	0	0	17.8	3.0	88	50	0.0	5
 3	 1	 23	0	0	16.3	2.7	85	51	0.0	6
 3	 1	 24	0	0	14.8	2.8	70	58	0.0	6
 4	 1	 1	0	0	12.9	2.7	98	64	0.0	6
 4	 1	 2	0	0	10.8	2.7	105	71	0.0	6
 4	 1	 3	0	0	8.6	3.9	77	79	0.0	6
 4	 1	 4	0	0	7.5	4.3	18	84	0.0	6
 4	 1	 5	0	0	6.3	4.3	32	92	0.0	6
 4	 1	 6	0	0	5.5	3.0	335	91	0.0	6
 4	 1	 7	0	0	4.7	2.2	33	95	0.0	6
 4	 1	 8	2	2	4.6	2.1	146	100	0.0	6
 4	 1	 9	81	120	7.0	2.4	183	89	0.0	6
 4	 1	 10	101	282	10.0	2.2	171	77	0.0	3
 4	 1	 11	176	413	12.8	2.8	229	67	0.0	4
 4	 1	 12	281	392	14.3	2.7	171	54	0.0	7
 4	 1	 13	260	466	15.7	4.1	172	48	0.0	6
 4	 1	 14	261	421	16.4	2.8	168	45	0.0	6
 4	 1	 15	167	443	17.0	2.5	212	40	0.0	4
 4	 1	 16	131	290	16.6	2.4	269	40	0.0	4
 4	 1	 17	96	133	15.1	2.7	267	45	0.0	7
 4	 1	 18	3	3	13.0	3.0	182	56	0.0	7
 4	 1	 19	0	0	11.7	2.7	175	60	0.0	7
 4	 1	 20	0	0	10.5	2.8	155	59	0.0	7
 4	 1	 21	0	0	9.3	1.8	124	65	0.0	7
 4	 1	 22	0	0	8.1	2.1	227	72	0.0	7
 4	 1	 23	0	0	6.9	1.9	187	75	0.0	7
 4	 1	 24	0	0	5.7	1.8	166	81	0.0	7
 5	 1	 1	0	0	5.2	3.6	154	87	0.0	7
 5	 1	 2	0	0	4.7	4.3	84	87	0.0	7
 5	 1	 3	0	0	4.3	3.6	7	87	0.0	7
 5	 1	 4	0	0	4.0	3.0	96	89	0.0	7
 5	 1	 5	0	0	3.7	4.3	150	90	0.0	7
 5	 1	 6	0	0	3.6	3.9	43	89	0.0	7
 5	 1	 7	0	0	3.4	4.6	100	87	0.0	7
 5	 1	 8	2	2	3.4	3.4	46	87	0.0	7
 5	 1	 9	72	87	5.8	3.2	187	75	0.0	7
 5	 1	 10	146	152	7.9	2.7	145	68	0.0	8
 5	 1	 11	198	208	9.6	2.2	175	63	0.0	8
 5	 1	 12	271	387	12.7	2.1	155	52	0.0	7
 5	 1	 13	269	295	13.9	2.1	212	47	0.0	8
