Mes,Energia_kWh,Custo_EUR,Preco_medio
Jan,13021.389502763748,1206.1113649586914,0.09262539644503362
Fev,11602.38749063015,1077.7625490911305,0.092891445830568
Mar,10074.333485364914,929.4048579437658,0.09225472427470478
Abr,7084.379000067711,646.508696037461,0.09125834403146442
Mai,4915.417510032654,445.1981626302004,0.09057179003035347
Jun,4339.532990098,390.1160224556952,0.089898158015129
Jul,4321.7170070409775,390.4705476803356,0.0903507904483745
Ago,4699.446995973587,423.17164332509856,0.09004711483875984
Set,5285.766999363899,482.1167324074777,0.09121036407119282
Out,7488.966507315636,694.3575779473758,0.09271740997493967
Nov,9078.258501529694,839.5046724503045,0.09247419781105014
Dez,13589.848509430885,1253.2377582223853,0.0922186702340855
