building_name,month,rmse,mape
resstock-amy2018-2021-release-1-102188,12,0.93723583,3.0992966
resstock-amy2018-2021-release-1-102188,11,0.83267856,2.859138
resstock-amy2018-2021-release-1-102188,10,0.78419346,2.48598
resstock-amy2018-2021-release-1-102188,9,0.8016116,2.7348812
resstock-amy2018-2021-release-1-102188,8,0.61113375,1.9556187
resstock-amy2018-2021-release-1-102188,6,0.51874965,1.608838
resstock-amy2018-2021-release-1-102188,5,0.8243546,2.7027256
resstock-amy2018-2021-release-1-102188,4,0.5773307,1.8346664
resstock-amy2018-2021-release-1-102188,3,0.6840294,2.2464223
resstock-amy2018-2021-release-1-102188,2,0.9704974,3.3131752
resstock-amy2018-2021-release-1-102188,1,0.7316741,2.5009534
resstock-amy2018-2021-release-1-102188,7,0.5111365,1.6100132
resstock-amy2018-2021-release-1-112223,1,0.6053011,2.4545383
resstock-amy2018-2021-release-1-112223,2,0.4645235,1.8305511
resstock-amy2018-2021-release-1-112223,11,1.3267461,5.5656753
resstock-amy2018-2021-release-1-112223,10,0.6541692,2.1725566
resstock-amy2018-2021-release-1-112223,9,0.5278822,1.6271429
resstock-amy2018-2021-release-1-112223,12,0.5391525,2.1244245
resstock-amy2018-2021-release-1-112223,8,0.3497086,1.0575591
resstock-amy2018-2021-release-1-112223,7,0.39424762,1.1690704
resstock-amy2018-2021-release-1-112223,6,0.61817616,1.9951181
resstock-amy2018-2021-release-1-112223,5,0.6214709,1.8962573
resstock-amy2018-2021-release-1-112223,4,0.96828264,3.6110075
resstock-amy2018-2021-release-1-112223,3,1.2751772,4.831894
resstock-amy2018-2021-release-1-113808,11,1.7621235,7.6234217
resstock-amy2018-2021-release-1-113808,4,0.86354256,2.8403387
resstock-amy2018-2021-release-1-113808,5,0.82825476,2.6572645
resstock-amy2018-2021-release-1-113808,6,0.4621327,1.4264277
resstock-amy2018-2021-release-1-113808,7,0.5417926,1.8794769
resstock-amy2018-2021-release-1-113808,8,0.8702078,3.0479498
resstock-amy2018-2021-release-1-113808,9,1.0365522,3.4620404
resstock-amy2018-2021-release-1-113808,10,1.2525394,5.220595
resstock-amy2018-2021-release-1-113808,12,1.8414806,8.429911
resstock-amy2018-2021-release-1-113808,1,1.3511118,5.7439556
resstock-amy2018-2021-release-1-113808,3,1.3452829,4.6835394
resstock-amy2018-2021-release-1-113808,2,1.5824541,6.8163385
resstock-amy2018-2021-release-1-120912,9,0.9730438,2.9851544
resstock-amy2018-2021-release-1-120912,12,1.7513278,6.550666
resstock-amy2018-2021-release-1-120912,11,1.4385662,5.7885823
resstock-amy2018-2021-release-1-120912,10,0.9016561,2.9779723
resstock-amy2018-2021-release-1-120912,8,0.90303224,2.834958
resstock-amy2018-2021-release-1-120912,6,0.8292803,2.636
resstock-amy2018-2021-release-1-120912,5,0.76926094,2.2984738
resstock-amy2018-2021-release-1-120912,4,0.7136795,2.0539892
resstock-amy2018-2021-release-1-120912,3,1.1729081,3.6057959
resstock-amy2018-2021-release-1-120912,2,1.646427,6.0938954
resstock-amy2018-2021-release-1-120912,7,0.8416476,2.676666
resstock-amy2018-2021-release-1-120912,1,1.6394007,6.762538
resstock-amy2018-2021-release-1-123182,12,0.8869538,3.1385653
resstock-amy2018-2021-release-1-123182,11,0.8964685,2.8337908
resstock-amy2018-2021-release-1-123182,10,0.60800546,1.8408349
resstock-amy2018-2021-release-1-123182,9,0.4514184,1.4668982
resstock-amy2018-2021-release-1-123182,8,0.5377832,1.7494296
resstock-amy2018-2021-release-1-123182,1,0.41484246,1.6175634
resstock-amy2018-2021-release-1-123182,6,0.4005655,1.3269538
resstock-amy2018-2021-release-1-123182,5,0.5154759,1.6921464
resstock-amy2018-2021-release-1-123182,4,0.71333283,2.364339
resstock-amy2018-2021-release-1-123182,3,0.9167184,4.274565
resstock-amy2018-2021-release-1-123182,2,0.56727135,2.2250896
resstock-amy2018-2021-release-1-123182,7,0.47934827,1.4899668
resstock-amy2018-2021-release-1-133435,12,0.8346534,3.5431783
resstock-amy2018-2021-release-1-133435,11,0.62974715,2.841529
resstock-amy2018-2021-release-1-133435,9,0.6244798,2.5197396
resstock-amy2018-2021-release-1-133435,8,0.4895694,1.849713
resstock-amy2018-2021-release-1-133435,10,0.6145382,2.680452
resstock-amy2018-2021-release-1-133435,6,0.42963687,1.6629035
resstock-amy2018-2021-release-1-133435,5,0.522323,2.1300688
resstock-amy2018-2021-release-1-133435,4,0.7775673,3.2557752
resstock-amy2018-2021-release-1-133435,3,0.75670516,3.0393002
resstock-amy2018-2021-release-1-133435,2,0.76076037,3.384096
resstock-amy2018-2021-release-1-133435,1,0.53429216,2.2869155
resstock-amy2018-2021-release-1-133435,7,0.4537895,1.8277525
resstock-amy2018-2021-release-1-133518,12,0.67628133,2.6091578
resstock-amy2018-2021-release-1-133518,11,0.6190464,2.3144696
resstock-amy2018-2021-release-1-133518,10,0.60706013,2.1634288
resstock-amy2018-2021-release-1-133518,9,0.55247724,1.9101062
resstock-amy2018-2021-release-1-133518,8,0.4587468,1.5286949
resstock-amy2018-2021-release-1-133518,7,0.5195193,1.8849391
resstock-amy2018-2021-release-1-133518,6,0.53842247,1.8545963
resstock-amy2018-2021-release-1-133518,5,0.48603302,1.5796248
resstock-amy2018-2021-release-1-133518,4,0.5911019,2.134276
resstock-amy2018-2021-release-1-133518,3,0.5758553,2.0963047
resstock-amy2018-2021-release-1-133518,2,0.59910864,2.354755
resstock-amy2018-2021-release-1-133518,1,0.5367446,2.067566
resstock-amy2018-2021-release-1-134795,12,0.6700178,2.7825773
resstock-amy2018-2021-release-1-134795,11,0.7240794,2.9254763
resstock-amy2018-2021-release-1-134795,10,0.78504235,2.561788
resstock-amy2018-2021-release-1-134795,9,0.82463074,2.527411
resstock-amy2018-2021-release-1-134795,8,0.49005714,1.4593779
resstock-amy2018-2021-release-1-134795,1,0.4795162,2.1063595
