Outdoor Drybulb Temperature [C],Outdoor Relative Humidity [%],Diffuse Solar Radiation [W/m2],Direct Solar Radiation [W/m2],6h Prediction Outdoor Drybulb Temperature [C],12h Prediction Outdoor Drybulb Temperature [C],24h Prediction Outdoor Drybulb Temperature [C],6h Prediction Outdoor Relative Humidity [%],12h Prediction Outdoor Relative Humidity [%],24h Prediction Outdoor Relative Humidity [%],6h Prediction Diffuse Solar Radiation [W/m2],12h Prediction Diffuse Solar Radiation [W/m2],24h Prediction Diffuse Solar Radiation [W/m2],6h Prediction Direct Solar Radiation [W/m2],12h Prediction Direct Solar Radiation [W/m2],24h Prediction Direct Solar Radiation [W/m2]
1.26,84.00,0.00,0.00,0.92,4.91,-0.43,66.01,46.06,87.95,0.00,169.07,0.00,0.00,18.81,0.00
1.60,73.38,0.00,0.00,0.84,4.56,-1.64,64.93,46.79,89.68,13.06,135.16,0.00,3.32,13.80,0.00
1.48,65.75,0.00,0.00,1.80,5.08,-2.36,60.75,44.78,88.34,70.74,94.97,0.00,17.73,4.84,0.00
1.34,65.00,0.00,0.00,2.71,4.99,-2.79,58.22,46.85,87.01,128.91,41.62,0.00,22.46,0.32,0.00
1.24,64.38,0.00,0.00,3.43,4.33,-2.48,52.74,50.67,81.95,161.72,3.07,0.00,24.09,0.00,0.00
1.14,65.25,0.00,0.00,3.94,2.95,-3.88,48.81,66.24,77.14,171.00,0.00,0.00,19.01,0.00,0.00
1.04,65.38,0.00,0.00,4.77,2.60,-3.06,46.53,77.90,65.16,167.41,0.00,0.00,18.62,0.00,0.00
1.06,63.75,13.31,3.38,4.72,3.05,-3.94,46.27,79.36,66.68,136.73,0.00,3.32,13.96,0.00,0.00
1.73,61.12,70.31,17.62,4.95,2.45,-4.43,45.20,82.31,68.10,94.11,0.00,30.28,4.79,0.00,48.26
2.73,58.12,129.12,22.50,4.75,1.21,-1.66,47.67,87.46,59.15,40.94,0.00,129.15,0.32,0.00,288.71
3.60,52.00,164.06,24.44,4.17,0.70,-0.60,51.27,87.81,57.95,3.04,0.00,159.40,0.00,0.00,349.27
4.21,47.75,174.88,19.44,3.24,1.28,0.62,64.93,81.23,54.63,0.00,0.00,192.27,0.00,0.00,292.82
4.65,47.00,165.75,18.44,2.81,-0.11,1.03,76.76,85.97,53.60,0.00,0.00,198.89,0.00,0.00,103.02
4.86,45.75,138.31,14.12,2.81,-1.17,0.35,80.74,86.84,56.84,0.00,0.00,168.19,0.00,0.00,106.00
4.84,45.62,93.25,4.75,2.31,-2.00,-0.48,83.15,86.17,62.36,0.00,0.00,106.73,0.00,0.00,55.46
4.55,48.50,40.25,0.31,1.50,-2.54,-0.35,85.73,85.51,63.39,0.00,0.00,51.03,0.00,0.00,38.32
4.03,51.88,3.00,0.00,1.02,-2.65,-1.96,85.90,82.97,72.18,0.00,0.00,3.55,0.00,0.00,2.70
3.49,63.62,0.00,0.00,1.05,-3.52,-2.05,82.62,75.26,75.64,0.00,0.00,0.00,0.00,0.00,0.00
2.99,75.62,0.00,0.00,0.06,-3.31,-2.93,84.99,66.39,77.58,0.00,0.00,0.00,0.00,0.00,0.00
2.61,82.12,0.00,0.00,-0.93,-3.82,-3.26,85.42,66.09,77.55,0.00,3.35,0.00,0.00,0.00,0.00
2.19,84.00,0.00,0.00,-1.81,-4.05,-3.48,85.08,66.36,84.16,0.00,31.14,0.00,0.00,49.63,0.00
1.75,84.00,0.00,0.00,-2.42,-2.23,-4.04,84.75,61.76,92.91,0.00,124.30,0.00,0.00,277.86,0.00
1.29,84.00,0.00,0.00,-2.74,-1.07,-3.05,83.49,60.04,85.22,0.00,154.39,0.00,0.00,338.29,0.00
0.85,84.00,0.00,0.00,-3.34,-0.04,-3.84,74.32,57.51,90.37,0.00,183.91,0.00,0.00,280.10,0.00
0.20,84.00,0.00,0.00,-3.44,0.35,-3.88,67.01,56.49,95.15,0.00,190.07,0.00,0.00,98.45,0.00
-0.73,84.00,0.00,0.00,-3.75,0.10,-3.89,65.79,57.92,98.05,3.36,165.22,0.00,0.00,104.12,0.00
-1.66,84.00,0.00,0.00,-3.86,-0.38,-3.55,65.49,61.93,92.95,31.57,107.49,0.00,50.31,55.86,0.00
-2.31,84.00,0.00,0.00,-2.52,-0.57,-3.05,63.07,64.45,88.06,121.87,50.24,0.00,272.43,37.72,0.00
-2.81,84.00,0.00,0.00,-1.31,-1.69,-5.10,61.08,70.84,100.00,151.89,3.62,0.00,332.80,2.76,0.00
-3.19,73.38,0.00,0.00,-0.37,-1.97,-5.28,58.94,75.20,99.06,179.74,0.00,0.00,273.74,0.00,0.00
-3.55,67.62,0.00,0.00,0.01,-2.58,-4.13,57.93,75.73,93.65,185.66,0.00,0.00,96.16,0.00,0.00
-3.70,65.50,3.38,0.00,-0.03,-2.91,-4.68,58.46,75.71,99.96,163.74,0.00,12.52,103.19,0.00,3.00
-3.70,64.62,32.00,51.00,-0.33,-3.18,-3.73,61.72,82.39,94.40,107.87,0.00,66.19,56.05,0.00,15.03
-2.76,64.38,119.44,267.00,-0.68,-3.63,-1.62,64.97,90.33,81.84,49.84,0.00,128.96,37.42,0.00,18.26
-1.51,62.12,149.38,327.31,-1.56,-3.33,-0.91,70.17,86.98,74.40,3.65,0.00,167.97,2.78,0.00,29.59
-0.66,60.38,175.56,267.38,-1.93,-3.90,-0.61,74.97,90.75,70.88,0.00,0.00,183.81,0.00,0.00,51.45
-0.28,59.38,181.25,93.88,-2.40,-3.99,0.99,74.80,95.95,64.06,0.00,0.00,196.48,0.00,0.00,73.08
-0.14,59.00,162.25,102.25,-2.74,-4.00,0.55,74.80,98.83,68.24,0.00,0.00,154.75,0.00,0.00,66.25
-0.29,61.50,108.25,56.25,-3.02,-3.84,-0.18,81.51,94.91,71.78,0.00,0.00,95.67,0.00,0.00,36.88
-0.78,65.50,49.44,37.12,-3.43,-3.57,0.44,89.04,91.53,65.40,0.00,0.00,45.84,0.00,0.00,15.10
-1.44,69.50,3.69,2.81,-3.47,-4.53,1.05,87.87,97.58,61.18,0.00,0.00,3.73,0.00,0.00,1.13
-1.89,74.75,0.00,0.00,-3.93,-4.62,-0.82,90.93,94.78,70.91,0.00,0.00,0.00,0.00,0.00,0.00
-2.25,73.88,0.00,0.00,-4.05,-4.06,-1.21,96.35,93.20,75.77,0.00,0.00,0.00,0.00,0.00,0.00
-2.59,73.88,0.00,0.00,-4.05,-4.26,-0.56,99.23,97.17,72.15,0.00,12.92,0.00,0.00,3.10,0.00
-2.89,80.62,0.00,0.00,-3.98,-3.41,-0.92,95.90,92.32,73.92,0.00,67.79,0.00,0.00,15.39,0.00
-3.25,87.75,0.00,0.00,-3.82,-1.82,-1.57,93.26,83.05,79.31,0.00,127.17,0.00,0.00,18.00,0.00
-3.59,88.75,0.00,0.00,-4.25,-0.98,-1.08,95.67,74.76,77.23,0.00,167.18,0.00,0.00,29.45,0.00
-3.95,91.12,0.00,0.00,-4.28,-0.37,-1.25,92.64,69.69,80.39,0.00,187.12,0.00,0.00,52.38,0.00
-4.10,96.75,0.00,0.00,-4.03,0.81,-1.21,92.97,64.90,79.45,0.00,194.02,0.00,0.00,72.17,0.00
-4.10,99.62,0.00,0.00,-4.06,0.83,-2.48,95.78,66.93,85.54,13.11,157.97,0.00,3.14,67.62,0.00
-4.10,96.88,0.00,0.00,-3.25,0.50,-3.96,91.29,68.58,91.13,68.58,100.87,0.00,15.57,38.88,0.00
-4.04,95.00,0.00,0.00,-1.92,0.62,-4.61,83.65,64.57,95.98,126.28,46.45,0.00,17.88,15.30,0.00
-4.00,93.75,0.00,0.00,-1.01,0.59,-2.67,74.94,63.34,84.01,166.78,3.62,0.00,29.38,1.09,0.00
-4.00,90.50,0.00,0.00,-0.24,-0.54,-4.64,69.10,69.58,96.53,188.78,0.00,0.00,52.85,0.00,0.00
-4.00,92.75,0.00,0.00,0.72,-0.86,-3.90,65.33,73.94,91.10,192.79,0.00,0.00,71.71,0.00,0.00
-3.88,94.38,13.31,3.19,0.97,-0.68,-3.98,66.27,72.77,91.97,159.58,0.00,9.46,68.31,0.00,0.00
-3.11,90.25,69.38,15.75,0.85,-1.01,-3.40,66.98,74.40,87.91,103.46,0.00,50.14,39.88,0.00,0.00
-2.01,84.25,125.38,17.75,0.71,-1.44,-1.99,64.16,78.60,78.80,46.76,0.00,94.66,15.40,0.00,0.00
-1.04,75.12,166.38,29.31,0.36,-1.35,-2.05,64.42,78.74,79.09,3.56,0.00,120.22,1.08,0.00,0.00
-0.14,68.50,190.44,53.31,-0.41,-1.62,-1.93,68.92,82.57,78.10,0.00,0.00,131.92,0.00,0.00,0.00
0.64,65.75,191.56,71.25,-0.68,-1.77,-0.99,73.03,82.91,73.21,0.00,0.00,137.31,0.00,0.00,0.00
1.09,65.62,161.19,69.00,-0.74,-2.57,-1.37,73.07,86.08,76.22,0.00,0.00,113.47,0.00,0.00,0.00
1.14,65.38,106.06,40.88,-1.05,-3.52,-2.46,74.64,88.44,82.87,0.00,0.00,71.03,0.00,0.00,0.00
0.79,63.75,47.06,15.50,-1.38,-4.09,-1.55,78.24,92.68,72.19,0.00,0.00,33.30,0.00,0.00,0.00
0.16,65.50,3.50,1.06,-1.48,-3.19,-1.93,79.50,87.38,67.94,0.00,0.00,2.52,0.00,0.00,0.00
-0.29,68.25,0.00,0.00,-1.80,-4.13,-3.20,83.66,93.26,76.16,0.00,0.00,0.00,0.00,0.00,0.00
-0.53,72.12,0.00,0.00,-2.05,-3.86,-4.06,84.65,90.86,86.40,0.00,0.00,0.00,0.00,0.00,0.00
-0.79,73.38,0.00,0.00,-2.61,-3.91,-3.12,86.35,91.48,80.36,0.00,9.51,0.00,0.00,0.00,0.00
-1.09,74.88,0.00,0.00,-3.30,-3.45,-2.54,87.10,88.20,75.74,0.00,49.98,0.00,0.00,0.00,0.00
-1.32,77.88,0.00,0.00,-3.83,-2.51,-5.06,91.03,81.96,89.82,0.00,91.39,0.00,0.00,0.00,0.00
-1.59,80.25,0.00,0.00,-3.45,-2.31,-3.89,89.07,80.60,79.31,0.00,118.08,0.00,0.00,0.00,0.00
-1.95,84.75,0.00,0.00,-3.88,-2.08,-4.15,91.63,78.93,81.61,0.00,130.58,0.00,0.00,0.00,0.00
-2.29,86.38,0.00,0.00,-3.85,-1.50,-5.07,90.74,76.11,83.23,0.00,132.63,0.00,0.00,0.00,0.00
-2.65,86.62,0.00,0.00,-3.87,-1.61,-6.03,91.24,77.61,83.05,9.53,111.55,0.00,0.00,0.00,0.00
-3.11,85.75,0.00,0.00,-3.47,-2.12,-5.83,88.35,80.94,80.31,49.89,72.86,0.00,0.00,0.00,0.00
-3.61,89.38,0.00,0.00,-2.77,-1.78,-5.55,83.54,73.40,76.75,89.76,32.78,0.00,0.00,0.00,0.00
