Mes,Energia_kWh,Custo_EUR,Preco_medio
Jan,13334.000002563,1236.5874876758157,0.09273942458663001
Fev,11917.249990701675,1108.711148314777,0.09303414371435008
Mar,9997.188226860948,924.6222770793092,0.09248823330093832
Abr,6819.101775062736,623.331441693416,0.09140961115625544
Mai,4229.00001087971,381.9642114761145,0.09032022002682824
Jun,3704.500002660323,332.7226499349928,0.08981580501985524
Jul,3348.8001005914994,298.97248608914936,0.08927749555321077
Ago,3897.7500044372864,348.49408231985575,0.0894090390412731
Set,4662.771488609724,424.8521899393354,0.0911158076215336
Out,7239.500003354158,672.9657514578201,0.09295749031646192
Nov,9137.499997965991,846.3671658294074,0.09262568164353585
Dez,13929.249995231628,1285.858740882948,0.09231356615202782
