outdoor_dry_bulb_temperature,outdoor_relative_humidity,diffuse_solar_irradiance,direct_solar_irradiance,outdoor_dry_bulb_temperature_predicted_1,outdoor_dry_bulb_temperature_predicted_2,outdoor_dry_bulb_temperature_predicted_3,outdoor_relative_humidity_predicted_1,outdoor_relative_humidity_predicted_2,outdoor_relative_humidity_predicted_3,diffuse_solar_irradiance_predicted_1,diffuse_solar_irradiance_predicted_2,diffuse_solar_irradiance_predicted_3,direct_solar_irradiance_predicted_1,direct_solar_irradiance_predicted_2,direct_solar_irradiance_predicted_3
12.16,59.88,0.0,0.0,10.49,21.16,10.69,67.78,34.04,61.14,0.0,60.0,0.0,0.0,983.04,0.0
11.76,63.38,0.0,0.0,9.97,22.28,10.25,74.25,30.95,61.99,4.51,57.1,0.0,60.62,945.22,0.0
11.12,64.88,0.0,0.0,11.47,21.75,8.05,69.09,32.49,70.4,36.51,50.76,0.0,514.38,866.95,0.0
10.78,67.25,0.0,0.0,13.96,22.0,4.38,59.36,32.24,90.73,47.92,48.98,0.0,777.92,792.48,0.0
10.51,68.0,0.0,0.0,16.12,21.57,4.4,50.09,32.35,87.93,50.88,34.83,0.0,871.08,496.79,0.0
10.34,68.0,0.0,0.0,18.72,20.83,4.74,40.35,34.93,81.38,55.68,4.78,0.0,941.47,37.8,0.0
10.24,69.25,0.0,0.0,20.87,19.93,2.1,34.77,37.39,97.25,58.81,0.0,0.0,963.58,0.0,0.0
10.26,72.5,4.62,62.12,22.15,17.64,1.09,31.23,42.02,100.0,56.61,0.0,3.65,937.11,0.0,67.53
11.49,69.0,36.56,515.06,21.89,16.29,3.7,32.18,44.32,88.01,51.26,0.0,34.48,875.38,0.0,616.07
13.76,60.38,47.12,764.94,21.84,15.51,4.43,32.62,45.22,88.31,48.43,0.0,46.58,783.59,0.0,760.44
16.26,49.5,51.5,881.62,21.71,13.89,8.87,32.05,48.62,68.72,35.16,0.0,61.84,501.58,0.0,995.88
18.64,40.62,55.31,935.19,20.87,12.18,9.86,34.84,53.28,59.88,4.8,0.0,60.92,37.9,0.0,960.63
20.62,35.5,57.62,944.12,19.66,10.83,10.59,38.14,60.51,52.22,0.0,0.0,58.38,0.0,0.0,898.42
22.05,31.5,56.12,929.0,17.88,9.6,12.44,41.32,65.18,44.22,0.0,0.0,60.0,0.0,0.0,939.21
22.0,31.88,51.75,883.81,16.53,7.48,12.4,43.6,73.51,41.32,0.0,0.0,52.47,0.0,0.0,862.22
21.7,33.0,47.88,774.69,15.41,4.97,14.19,45.55,87.24,34.59,0.0,0.0,54.52,0.0,0.0,888.15
21.82,31.75,35.5,506.38,13.94,4.41,13.02,48.44,87.9,36.45,0.0,0.0,37.43,0.0,0.0,597.36
20.9,34.75,4.81,38.0,12.42,4.1,10.97,52.39,85.5,42.54,0.0,0.0,4.9,0.0,0.0,43.89
19.43,38.88,0.0,0.0,10.91,2.41,9.86,60.2,95.18,47.74,0.0,0.0,0.0,0.0,0.0,0.0
18.09,40.62,0.0,0.0,9.27,1.7,8.77,66.78,99.8,52.53,0.0,3.83,0.0,0.0,70.76,0.0
16.73,42.88,0.0,0.0,7.19,3.47,6.18,75.06,89.5,65.29,0.0,33.93,0.0,0.0,606.25,0.0
15.32,45.88,0.0,0.0,5.26,4.93,5.43,85.5,85.35,68.31,0.0,48.38,0.0,0.0,789.94,0.0
13.99,48.25,0.0,0.0,4.41,8.31,4.0,87.89,71.67,73.88,0.0,59.58,0.0,0.0,959.38,0.0
12.63,51.5,0.0,0.0,3.78,9.91,3.08,87.56,59.69,76.11,0.0,61.12,0.0,0.0,963.69,0.0
10.97,59.88,0.0,0.0,2.57,11.16,4.06,94.15,50.24,68.97,0.0,61.0,0.0,0.0,938.71,0.0
8.99,68.38,0.0,0.0,2.01,12.66,4.8,97.71,43.55,66.86,3.91,60.97,0.0,72.38,954.39,0.0
6.95,76.62,0.0,0.0,3.36,12.91,3.59,90.25,39.91,74.45,33.65,54.55,0.0,601.35,896.3,0.0
5.51,83.75,0.0,0.0,5.18,13.73,3.12,83.86,35.8,77.79,49.29,52.85,0.0,804.69,861.05,0.0
4.41,87.88,0.0,0.0,8.04,12.7,1.95,73.14,37.35,86.84,58.44,36.59,0.0,941.13,583.96,0.0
3.5,89.62,0.0,0.0,9.93,10.84,2.0,59.59,42.96,87.5,61.21,4.86,0.0,965.22,43.47,0.0
2.7,93.12,0.0,0.0,11.45,9.57,2.67,49.24,48.74,81.16,62.31,0.0,0.0,958.85,0.0,0.0
2.27,95.62,4.0,74.0,12.77,8.51,3.2,43.22,53.52,74.6,61.46,0.0,5.64,961.97,0.0,39.85
3.26,91.0,33.38,596.44,13.17,6.75,5.24,39.21,62.84,64.86,55.58,0.0,49.24,913.34,0.0,379.64
5.4,82.38,50.19,819.44,13.51,5.87,6.44,36.4,66.28,61.83,52.02,0.0,76.21,847.49,0.0,586.87
7.8,74.62,57.31,922.88,12.53,4.67,8.87,37.8,70.69,52.79,36.17,0.0,143.37,577.26,0.0,486.56
9.95,59.5,61.31,966.75,10.77,3.67,11.41,43.17,73.18,44.59,4.83,0.0,237.04,43.27,0.0,208.78
11.7,48.25,63.62,979.0,9.43,3.86,12.23,49.25,69.98,42.55,0.0,0.0,244.08,0.0,0.0,264.85
12.86,42.88,61.94,969.56,8.39,4.12,13.56,54.01,70.49,39.31,0.0,0.0,240.25,0.0,0.0,280.7
13.39,38.5,56.62,930.38,7.04,3.39,13.16,61.61,75.54,40.6,0.0,0.0,141.82,0.0,0.0,501.39
13.31,37.0,51.19,833.94,6.09,3.08,15.0,65.27,78.02,33.62,0.0,0.0,118.52,0.0,0.0,408.2
